Gene_ID	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
11287	3	4	9	0	7	0	14
11298	3	2	1	0	4	2	3
11302	2618	2118	1746	1348	2624	1634	597
11303	37611	6536	11551	8292	9858	14466	3450
11304	129	116	32	110	32	831	38
11305	3314	3020	3156	2686	3548	1739	1906
11306	4973	5518	4499	3886	4333	6632	4466
11307	8004	1095	1682	2638	2227	2731	960
11308	7034	5483	4654	4250	4553	5338	4725
11350	7467	9332	5702	7168	7591	8603	9173
11352	7078	10116	5838	4719	6294	11037	6970
11354	0	0	0	0	0	0	0
11363	931	2419	473	494	945	2910	1610
11364	1485	2014	980	788	1173	2296	1502
11370	2293	3163	1967	1490	1948	2093	1868
11409	1315	2284	1158	730	1103	998	1559
11416	1618	1792	1326	987	1335	2353	1382
11418	0	25	6	129	557	1	64
11419	2334	5311	5860	1170	2569	2322	3400
11421	2192	211	203	835	433	2218	340
11423	352	61	143	31	54	81	82
11425	4	1	2	2	2	0	0
11426	41166	29184	29185	24764	30515	44039	24571
11428	4033	7024	4573	4278	5600	6954	7027
11429	9774	14726	8190	4643	9202	13198	11780
11430	4187	5644	3697	3332	4011	4955	3568
11431	929	1105	2034	1969	1827	1012	2909
11432	4317	2556	1861	2140	2418	2966	1843
11433	1959	785	512	1345	616	738	423
11434	5	4	30	1	5	8	3
11435	6	141	5	0	2	596	286
11438	36	70	42	72	166	364	447
11440	0	0	0	0	0	0	0
11441	327	70	308	115	68	44	76
11443	135	882	57	54	88	820	458
11444	2582	2700	3800	1899	2405	515	1232
11447	0	21	0	0	0	115	30
11448	1	14	15	1	5	6	1
11449	2	15	1	1	2	275	61
11450	11	21	79	5	69	862	19
11451	0	7	0	1	2	2	5
11459	23	865	8	9	5	46555	3287
11461	327285	298290	160543	176974	180426	224660	262810
11464	18	4246	116	104	83	5818	5158
11465	13363	16850	11526	14554	10828	13153	19889
11468	2230	161	550	603	206	449	83
11470	8	44	11	26	19	15	12
11471	0	2	2	10	9	2	10
11472	14	183	10	38	16	1808	222
11474	10	21	25	20	13	12764	223
11475	20446	1544	4011	5500	2428	3993	1709
11477	1321	968	1078	962	1028	1026	887
11479	1932	1763	1304	986	1268	1284	975
11480	4526	3583	3196	2609	2764	4014	3623
11481	429	635	538	687	637	558	756
11482	2307	512	491	778	618	770	330
11484	18	5	4	6	1	81	0
11486	925	939	541	532	544	883	308
11487	8462	6042	5417	5158	6874	6269	5432
11488	282	279	898	215	303	287	294
11489	4745	867	620	2908	1695	3850	3618
11490	3775	1428	1041	1491	1080	2729	733
11491	7115	5641	3319	3798	3945	6837	4656
11492	3537	1130	1639	2001	1897	3168	1398
11495	0	2	0	4	2	1	0
11496	5160	2335	4384	22214	5123	2654	1862
11497	5	2	2	1	5	3	0
11498	146	91	56	81	143	161	137
11499	14	10	11	17	5	50	49
11500	0	0	1	0	0	0	0
11501	3376	516	977	1159	273	293	489
11502	7485	3636	3963	3396	3183	5699	3961
11504	4287	9205	9797	6183	5858	8308	10577
11512	1875	2060	2106	2055	2285	1445	1988
11513	6568	1438	2163	1866	2454	5768	1297
11514	40	43	76	3	58	65	15
11515	1075	495	781	514	548	840	376
11516	231	3597	1796	3106	482	96	852
11517	1830	4476	5439	2595	3195	2749	1350
11518	11067	9591	7636	4418	9714	14333	9677
11519	5448	2641	3989	5479	7381	1653	2540
11520	11521	4255	4370	4189	2609	5450	3199
11522	77	0	0	14	34	196	0
11529	17	3	1	7	22	56	4
11532	5527	8569	5146	5202	5340	8220	7620
11534	2780	5477	3719	1630	3524	3565	5585
11535	924	584	435	371	108	374	1981
11536	5	13	2	8	20	20	11
11537	1	1	0	2	285	5181	4
11538	11693	14327	12000	10033	13147	15559	12920
11539	202	733	260	82	412	881	134
11540	117	48	13	68	101	204	101
11541	104	25	41	17	15	136	14
11542	24	9	2	12	12	25	1
11544	1503	2022	1745	1868	2093	2159	3247
11545	9161	21581	12171	15690	11841	16228	19131
11546	1558	2236	2170	1289	1483	1873	3480
11548	2	6	4	2	13	36	51
11549	0	1	1	8	7	5	7
11550	99	3	11	12	25	26	7
11551	314	30	49	171	45	62	82
11552	7	2	1	5	0	4	0
11553	1023	11	615	7	26	342	4
11554	6	28	31	7	19	36	11
11555	407	20	32	62	50	278	40
11556	0	0	0	0	2	29	0
11564	2870	5282	2984	1684	3122	3881	4902
11565	365	119	121	113	84	781	112
11566	5136	7220	4160	4419	4384	6969	5114
11567	70	7	13	31	36	71	16
11568	11497	2027	1924	2573	1660	3626	779
11569	5423	7519	5226	4641	6086	5765	8277
11571	0	0	0	0	0	0	0
11572	0	0	0	0	0	0	0
11576	1	0	1	1	0	2	0
11593	726	856	509	546	441	544	845
11595	1	24	1	447	200	10	3
11596	37	41	68	39	58	23	50
11600	681	2597	847	1434	1376	1225	1611
11601	2377	1747	473	587	503	985	934
11602	60	5	0	11	2	18	5
11603	3395	4394	3423	4426	4185	7880	3690
11604	8	15	7	10	5	8	3
11605	1505	838	926	970	881	1406	892
11606	1	205	102	55	93	134	36
11607	173	162	20	82	29	222	70
11608	0	0	0	0	0	1	0
11609	25	5	6	14	2	38	5
11610	877	442	484	330	327	1740	372
11611	0	0	0	0	0	0	0
11614	0	0	0	0	2	0	0
11622	1030	167	142	312	281	663	211
11624	138	408	122	224	125	219	316
11625	1	2	5	9	2	28	3
11628	8	2	0	1	0	1	0
11629	3422	202	604	852	934	1004	322
11630	919	130	63	428	413	1088	82
11632	781	625	581	775	742	880	2268
11634	0	0	0	3	0	0	1
11636	1968	145	583	747	529	2038	396
11637	3718	7961	3501	2957	3032	7652	5149
11639	1529	3967	2158	661	342	5573	3770
11640	2663	3664	2513	2427	2590	2202	2760
11641	2893	1787	1240	2047	1317	2816	1096
11642	3	2	0	1	1	2	9
11643	0	0	0	0	0	1	1
11647	18	217	14	177	176	154	47
11648	0	1	0	0	0	0	0
11650	0	0	0	0	1	0	0
11651	11152	11753	7549	12795	13290	11586	17296
11652	3386	2569	3537	2523	3579	2963	2674
11655	1859	1612	1704	1585	2079	2394	1860
11656	573	229	170	242	167	231	2264
11657	0	0	1	0	1	2	1
11658	2271	4188	1931	1017	4665	1803	2220
11666	1212	654	548	653	867	981	494
11668	99	176	188	105	120	575	78
11669	3225	2281	511	843	728	2389	1701
11670	1	2	0	0	6	14	4
11671	1994	1843	1247	1159	1282	1679	996
11674	33692	44770	20570	22133	11351	39202	57443
11676	275	199	376	511	500	216	37
11677	13	11	7	4	16	19	16
11682	54	1194	188	114	121	205	116
11684	28	8	10	32	9	39	27
