                                 Started job on |	May 24 17:14:06
                             Started mapping on |	May 24 17:34:49
                                    Finished on |	May 24 18:06:35
       Mapping speed, Million of reads per hour |	63.74

                          Number of input reads |	33744257
                      Average input read length |	200
                                    UNIQUE READS:
                   Uniquely mapped reads number |	28055246
                        Uniquely mapped reads % |	83.14%
                          Average mapped length |	195.45
                       Number of splices: Total |	6887421
            Number of splices: Annotated (sjdb) |	6833156
                       Number of splices: GT/AG |	6786824
                       Number of splices: GC/AG |	36882
                       Number of splices: AT/AC |	3144
               Number of splices: Non-canonical |	60571
                      Mismatch rate per base, % |	0.33%
                         Deletion rate per base |	0.02%
                        Deletion average length |	1.34
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.55
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	3527701
             % of reads mapped to multiple loci |	10.45%
        Number of reads mapped to too many loci |	42209
             % of reads mapped to too many loci |	0.13%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.14%
                 % of reads unmapped: too short |	6.07%
                     % of reads unmapped: other |	0.07%
