id	cluster	neighbor	score	ts_1	ts_2
B_Control_A	1	2	0.897672304660834	57.776730734689	76.4978426479559
M_Control_A	2	1	0.90778917694517	163.846592110861	6.29881306185639
T_Control_A	3	6	0.6523038003425	-6.52837633368638	-112.204564618756
B_Control_B	1	2	0.868962572121763	59.8278096926639	66.5496266529732
M_Control_B	2	1	0.893314307017405	164.007238522312	-5.91083957845989
T_Control_B	3	6	0.709737502791326	0.110345518374618	-120.143115138191
B_Control_C	1	2	0.868798549751558	42.1236914028584	77.9711274626362
M_Control_C	2	1	0.880729733933699	152.165806064162	6.14803866537324
T_Control_C	3	6	0.634679930897976	6.48552704480784	-134.295123867415
B_Patient_D	4	6	0.763572732854069	-66.7581682137775	-18.1009144566421
M_Patient_D	5	4	0.898634820827248	-117.49684783186	129.386744052203
T_Patient_D	6	3	0.830111582628662	-37.464993265258	-65.6216515146218
B_Patient_E	4	6	0.803155864478362	-81.5745275386333	-8.52136964714145
M_Patient_E	5	4	0.89772357110398	-103.087535174358	141.91350842193
T_Patient_E	3	6	0.144507538573574	-16.6658696702519	-98.5946374209579
B_Patient_F	4	6	0.832487185524138	-68.8710275269157	-7.11245673019254
M_Patient_F	5	4	0.92464220668106	-115.84571472149	140.129841771959
T_Patient_F	6	3	0.795367612453595	-32.0506808144983	-74.3908697645111
