"","FLAG_0","FLAG_16","FLAG_Others","Percent_Others","Strand_Forward","Strand_Backward","Strand_Ambiguous","Percent_Forward"
"B_H3K4me3_ND391",4781,4877,0,0,4781,4877,0,49.503
"B_H3K4me3_ND422",4776,4824,0,0,4776,4824,0,49.75
"B_H3K4me3_ND425",4561,4444,0,0,4561,4444,0,50.65
"B_H3K4me3_SLE1077",4590,4692,0,0,4590,4692,0,49.451
"B_H3K4me3_SLE2239",4760,4671,0,0,4760,4671,0,50.472
"B_H3K4me3_SLE985",4682,4710,0,0,4682,4710,0,49.851
"M_H3K4me3_ND391",4642,4558,0,0,4642,4558,0,50.457
"M_H3K4me3_ND422",4562,4726,0,0,4562,4726,0,49.117
"M_H3K4me3_ND425",4699,4623,0,0,4699,4623,0,50.408
"M_H3K4me3_SLE1077",4627,4561,0,0,4627,4561,0,50.359
"M_H3K4me3_SLE2239",4753,4769,0,0,4753,4769,0,49.916
"M_H3K4me3_SLE985",4709,4742,0,0,4709,4742,0,49.825
"T_H3K4me3_ND391",4607,4653,0,0,4607,4653,0,49.752
"T_H3K4me3_ND422",4557,4462,0,0,4557,4462,0,50.527
"T_H3K4me3_ND425",4525,4500,0,0,4525,4500,0,50.139
"T_H3K4me3_SLE1077",4914,4954,0,0,4914,4954,0,49.797
"T_H3K4me3_SLE2239",4576,4558,0,0,4576,4558,0,50.099
"T_H3K4me3_SLE985",4845,4707,0,0,4845,4707,0,50.722
