"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"B_H3K4me3_ND391",4,6,3,3,2,7,8,4,7,15,14,11,14,15,13,27,22,22,32,29,37,22,31,49,9,45,74,0,3,130,56,0,2,1,2,0,3,3,4,6,6,3,5,13,15,11,16,10,18,15,22,18,30,1,65,3,2,147,9,1,1,1,1,3,0,1,2,10,3,2,8489
"B_H3K4me3_ND422",9,3,8,5,4,6,14,13,6,13,17,13,21,16,22,20,21,19,23,31,30,18,36,57,6,42,78,5,2,117,67,1,4,4,1,2,5,0,4,4,4,3,9,14,18,5,15,20,25,13,13,22,26,8,54,3,5,134,10,4,1,1,2,3,2,1,1,2,7,6,8402
"B_H3K4me3_ND425",4,2,3,4,3,7,5,3,5,9,12,12,15,9,17,25,21,15,31,28,37,24,31,34,10,39,83,1,3,120,70,1,0,0,0,0,1,3,2,4,3,7,6,5,15,3,16,16,19,15,19,30,42,3,46,12,7,131,6,2,1,1,3,1,0,1,0,7,6,3,7886
"B_H3K4me3_SLE1077",2,2,3,5,1,6,10,9,7,7,10,17,19,18,16,20,21,20,18,18,18,19,28,34,8,40,70,1,5,114,50,1,1,0,0,1,0,3,3,4,7,8,11,6,11,8,13,8,15,16,15,23,34,2,40,4,8,124,7,1,0,2,0,3,2,3,3,5,0,9,8265
"B_H3K4me3_SLE2239",2,0,0,1,1,3,6,4,6,7,13,15,8,13,10,9,15,14,19,17,28,16,25,29,5,37,43,2,3,95,49,1,0,0,1,1,2,0,2,1,1,7,4,6,15,9,15,8,16,16,16,15,30,3,41,2,8,113,12,0,2,0,2,6,0,0,4,2,2,2,8571
"B_H3K4me3_SLE985",6,4,1,3,3,6,6,5,3,10,12,16,15,16,18,12,20,24,32,17,36,24,46,38,8,47,82,1,4,129,53,3,4,0,2,0,2,1,4,1,8,8,6,7,15,10,17,10,25,13,24,22,44,7,51,2,8,129,16,2,1,1,2,3,0,2,2,0,1,2,8240
"M_H3K4me3_ND391",5,2,3,4,1,2,6,4,8,6,13,18,8,20,10,18,17,26,16,17,28,14,26,30,4,42,70,0,2,83,68,1,0,3,1,0,1,1,4,3,3,5,12,6,15,6,9,19,15,8,14,13,30,6,39,3,8,123,8,0,0,0,0,3,0,3,2,1,2,8,8254
"M_H3K4me3_ND422",8,7,2,6,5,5,6,7,6,11,12,7,10,13,27,18,11,16,22,24,17,20,25,36,9,42,61,1,9,107,71,0,1,1,3,6,2,0,1,2,8,7,5,9,14,7,15,13,11,13,21,20,30,6,38,6,11,103,14,2,0,2,1,3,5,1,2,1,3,11,8269
"M_H3K4me3_ND425",1,2,5,6,7,2,9,4,10,6,9,9,11,16,20,16,18,24,17,32,31,21,34,40,10,50,90,1,2,125,60,0,1,2,0,2,2,4,4,2,3,8,5,11,15,7,14,12,18,9,27,26,24,6,53,5,9,150,7,0,2,1,0,1,2,3,1,1,4,6,8187
"M_H3K4me3_SLE1077",2,3,3,1,2,5,1,8,10,6,9,12,9,13,19,18,11,16,14,24,23,17,24,32,5,36,70,1,3,80,51,1,1,0,1,2,0,1,0,3,5,10,4,4,7,4,4,9,15,13,11,22,32,2,31,3,10,99,6,2,0,0,1,2,3,2,3,4,1,3,8339
"M_H3K4me3_SLE2239",7,2,5,4,5,4,6,3,4,8,6,14,10,18,22,16,18,18,11,23,23,23,23,34,7,48,65,1,5,129,58,2,2,4,2,3,2,2,5,3,3,8,6,8,12,11,16,10,25,18,15,15,34,4,45,3,4,113,10,0,1,1,3,3,0,1,0,6,3,5,8494
"M_H3K4me3_SLE985",3,2,3,7,5,6,1,7,6,8,6,10,13,11,13,14,13,19,21,18,20,18,30,32,10,35,76,2,4,87,72,0,1,2,1,2,1,1,4,4,5,3,6,10,8,10,10,11,15,17,15,23,24,2,40,6,7,119,8,0,1,1,2,3,3,1,4,4,1,7,8497
"T_H3K4me3_ND391",4,2,4,3,4,2,6,5,4,4,12,11,8,8,23,19,23,12,27,20,28,17,33,40,6,44,74,1,1,101,57,3,0,0,0,1,2,1,0,3,4,6,1,9,12,4,10,13,24,13,15,28,27,3,58,3,7,129,7,1,0,2,1,2,1,4,3,4,5,4,8247
"T_H3K4me3_ND422",9,6,3,7,5,8,8,7,7,6,10,12,17,17,22,26,22,21,27,34,32,31,40,41,3,37,80,2,3,120,69,1,2,1,2,3,3,2,1,3,0,8,5,14,9,5,12,18,22,13,24,20,38,3,64,5,6,130,18,4,2,2,0,5,1,1,2,6,3,1,7828
"T_H3K4me3_ND425",3,5,3,0,3,5,5,1,7,2,17,12,3,19,24,26,18,26,25,21,30,11,37,44,9,36,81,2,2,123,77,0,0,0,1,1,0,1,1,2,9,5,5,8,17,7,8,9,16,15,10,28,42,6,34,3,6,100,7,1,2,2,0,2,0,2,1,2,1,5,7989
"T_H3K4me3_SLE1077",5,4,7,5,4,1,6,8,8,11,8,10,17,20,24,22,17,25,29,31,35,21,23,49,3,46,63,5,5,128,60,1,1,0,0,4,2,0,4,7,10,5,9,8,21,14,18,7,19,9,18,27,43,2,57,3,10,125,6,0,0,2,2,5,0,4,3,3,4,5,8710
"T_H3K4me3_SLE2239",3,0,2,0,4,3,4,5,4,8,14,13,12,11,14,8,23,29,17,23,27,18,28,31,2,30,80,3,3,90,70,1,3,0,0,1,2,4,2,3,5,3,7,4,18,5,17,11,11,12,11,24,26,5,35,3,9,116,7,0,0,1,0,3,3,1,1,3,0,6,8192
"T_H3K4me3_SLE985",1,6,6,2,3,2,4,10,10,12,6,16,15,18,15,21,18,26,25,30,29,17,29,46,9,39,72,1,4,135,72,0,0,1,0,1,3,3,0,4,5,8,8,9,16,9,14,13,14,17,11,23,42,4,42,5,10,125,11,0,0,1,4,4,4,3,1,2,0,2,8434
