"";"Symbol";"Type";"Title";"Cluster";"Breast_GSM133995";"Breast_GSM134000";"Breast_GSM134005";"Breast_GSM134010";"Breast_GSM134015";"CNS_GSM134020";"CNS_GSM134025";"CNS_GSM134030";"CNS_GSM134035";"CNS_GSM134040";"CNS_GSM134045";"Colon_GSM134050";"Colon_GSM134055";"Colon_GSM134060";"Colon_GSM134065";"Colon_GSM134070";"Colon_GSM134075";"Colon_GSM134080";"Blood_GSM134085";"Blood_GSM134090";"Blood_GSM134095";"Blood_GSM134100";"Blood_GSM134105";"Blood_GSM134110";"Skin_GSM134115";"Skin_GSM134120";"Skin_GSM134125";"Skin_GSM134130";"Skin_GSM134135";"Skin_GSM134140";"Skin_GSM134145";"Skin_GSM134150";"Skin_GSM134155";"Skin_GSM134160";"Lung_GSM134165";"Lung_GSM134170";"Lung_GSM134175";"Lung_GSM134180";"Lung_GSM134185";"Lung_GSM134190";"Lung_GSM134195";"Lung_GSM134200";"Lung_GSM134209";"Ovary_GSM134214";"Ovary_GSM134219";"Ovary_GSM134224";"Ovary_GSM134229";"Ovary_GSM134234";"Ovary_GSM134239";"Ovary_GSM134244";"Prostate_GSM134249";"Prostate_GSM134254";"Kidney_GSM134259";"Kidney_GSM134264";"Kidney_GSM134269";"Kidney_GSM134274";"Kidney_GSM134279";"Kidney_GSM134284";"Kidney_GSM134289";"Kidney_GSM134294"
"1278";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1278"" target=""_blank"">COL1A2</a>";"protein-coding";"collagen, type I, alpha 2";"Cluster_1";-0,4129;-0,5218;3,1857;2,0285;-0,6216;2,269;0,885;3,1675;0,9576;3,3536;1,7199;-0,4809;-0,4855;-0,6035;-0,4673;-0,6579;-0,372;-0,4265;-0,3085;-0,5581;-0,1179;-0,5218;-0,4991;-0,4809;-0,4628;-0,3584;-0,5717;-0,4129;-0,0998;-0,3947;-0,4855;-0,3493;-0,4356;-0,5036;-0,3766;-0,3811;-0,5127;1,3297;-0,3267;-0,1996;-0,313;0,4629;-0,3766;-0,5944;-0,5263;-0,2903;-0,431;-0,3267;-0,4583;-0,5354;-0,1406;-0,3856;-0,4174;-0,4446;-0,4219;-0,49;1,4567;-0,372;-0,4946;-0,3902
"1293";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1293"" target=""_blank"">COL6A3</a>";"protein-coding";"collagen, type VI, alpha 3";"Cluster_1";-0,0738;-0,052;3,0552;-0,3747;-0,4896;2,2291;2,7543;2,8254;-0,052;2,2127;-0,2927;-0,4896;-0,4568;-0,5224;-0,5115;-0,6045;-0,6209;-0,4622;-0,238;-0,6154;-0,5443;-0,4732;-0,6263;1,7368;0,6811;-0,145;-0,2215;-0,3474;-0,5881;-0,5443;-0,6865;-0,4622;-0,4294;-0,3638;-0,4349;-0,5169;1,879;0,0684;-0,6701;-0,6263;-0,5224;-0,6428;-0,4513;-0,4841;-0,5552;-0,5607;-0,4951;-0,6045;-0,5224;-0,4732;0,1723;-0,3857;1,6329;-0,3583;-0,5169;1,7861;0,5334;-0,6373;-0,413;-0,4075
"1294";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1294"" target=""_blank"">COL7A1</a>";"protein-coding";"collagen, type VII, alpha 1";"Cluster_1";0,2474;-0,4531;2,3301;-0,6614;-0,1881;-0,4531;0,4746;2,2922;0,8154;1,5349;2,2165;-0,5857;-0,794;-0,775;-1,1726;-1,3052;-0,5289;0,0202;-1,2484;-1,0022;-0,9265;-0,4153;0,2853;-0,6235;-0,8886;-0,6804;0,6071;-0,207;-0,3774;-0,2259;-0,6046;-0,6235;-0,9265;-0,4153;0,9858;1,3834;0,3042;-0,2827;0,9479;-0,8886;-0,7372;-0,4531;0,2285;-0,6804;0,1149;-0,5289;0,2095;0,4557;0,5503;0,6071;-0,6804;-0,6993;2,7466;0,1527;0,5882;-0,6425;2,8224;-0,8318;-1,0212;0,6071
"1303";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1303"" target=""_blank"">COL12A1</a>";"protein-coding";"collagen, type XII, alpha 1";"Cluster_1";-0,3125;0,7777;0,8186;0,9957;0,0827;2,5902;1,8134;4,2801;-0,149;1,1184;0,2871;-0,8849;-0,8168;0,4097;-0,844;-0,626;-0,6941;-0,5851;-0,5033;-0,2171;-0,6941;-0,8168;-0,9803;0,4643;0,2735;-0,5578;-0,5715;0,546;-0,4624;-0,7214;-0,4216;-0,6123;-0,8031;-0,4624;-0,5442;1,0775;0,3007;-0,0809;3,0127;0,6414;-1,1983;-0,9394;-0,4488;-0,5578;0,5051;0,069;-0,5715;0,069;0,8731;-0,04;-0,149;-0,5987;-0,5987;-0,4352;-0,4761;-0,2717;0,1099;-0,6669;-0,844;0,0418
"2633";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2633"" target=""_blank"">GBP1</a>";"protein-coding";"guanylate binding protein 1, interferon-inducible";"Cluster_1";-0,4207;1,6078;0,9705;2,1069;-0,4526;0,482;1,5334;3,6256;-0,219;2,5105;-0,0384;-0,7287;-0,4845;-0,6756;-0,75;-0,0597;-0,6013;-0,7818;-0,6544;-0,7394;-0,6332;0,5245;-0,5057;-0,3145;-0,5376;-0,4951;0,0572;-0,6438;-0,4314;-0,5163;-0,4207;-0,3252;-0,357;-0,6225;-0,6756;-0,6438;-0,4207;-0,4207;1,3104;-0,4314;-0,6119;-0,4951;-0,7712;-0,5588;1,0343;2,1175;-0,6013;-0,3358;-0,5163;-0,5269;-0,8243;-0,7712;0,567;0,6838;-0,1765;-0,3145;2,776;-0,0065;-0,6438;0,2483
"2697";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2697"" target=""_blank"">GJA1</a>";"protein-coding";"gap junction protein, alpha 1, 43kDa";"Cluster_1";-0,7868;-1,226;1,5887;1,5687;-1,0064;1,2293;1,2293;2,8063;2,3272;1,5288;0,9299;-0,9066;-1,1661;-1,0064;-0,8667;-0,5273;-0,6471;-0,8667;-1,2659;0,2712;-1,0064;-0,6271;0,9499;-0,5872;-1,3657;-0,7469;-0,2479;-0,727;-0,8268;-0,6271;-0,9465;-1,0264;-0,9266;-1,0264;-0,0682;-0,2678;1,0896;-0,5872;0,6504;0,8501;-0,5673;0,2512;2,0677;-0,4076;0,2113;0,9499;-0,8068;0,3111;0,2113;-0,0283;0,6904;-0,8068;0,7902;0,7502;0,5506;0,6504;-0,4076;0,4308;-0,687;0,7103
"3488";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3488"" target=""_blank"">IGFBP5</a>";"protein-coding";"insulin-like growth factor binding protein 5";"Cluster_1";0,6159;-0,6719;2,678;-0,5936;2,7563;2,9913;3,3741;0,8856;-0,1759;2,7128;1,2511;-0,3934;-0,5762;-0,4543;-0,3586;-0,5326;-0,4195;-0,3238;-0,4891;-0,4021;-0,4282;-0,6545;-0,4891;-0,3325;-0,6545;0,555;-0,2629;-0,5065;-0,2542;-0,5675;-0,4021;-0,1585;-0,463;-0,5326;-0,5936;0,468;-0,4021;-0,3238;-0,2107;-0,3934;-0,3847;-0,6284;-0,3238;-0,611;0,0851;1,7035;-0,2107;-0,4804;-0,3847;-0,55;-0,2716;-0,6458;-0,5326;-0,6545;-0,5762;-0,3586;0,3201;-0,4804;-0,5675;0,2852
"3589";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3589"" target=""_blank"">IL11</a>";"protein-coding";"interleukin 11";"Cluster_1";0,0534;0,3399;1,1864;-0,3894;-0,4154;-0,5587;-0,0508;4,6895;1,0692;0,3008;3,2049;-0,3243;-0,754;-0,6368;-0,2722;-0,8061;-0,3112;-0,4284;-0,2201;-0,6629;-0,4545;-0,3373;-0,181;-0,5196;0,6915;-0,767;-0,0247;-0,6108;-0,6629;-0,4415;-0,4936;-0,4024;-0,8712;-0,5587;0,8217;0,1576;3,0486;1,4989;0,392;-0,6238;-0,5977;-0,4024;0,0404;-0,4675;0,1576;-0,5196;-0,5457;-0,1289;-0,8452;-0,2071;-0,2852;0,0664;0,5352;-0,2852;-0,3633;-0,0899;0,5092;-0,6889;-0,6108;0,0534
"4015";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4015"" target=""_blank"">LOX</a>";"protein-coding";"lysyl oxidase";"Cluster_1";-0,2506;-0,1574;2,0587;2,4522;-0,4888;2,7421;0,9817;2,3279;-0,3956;3,612;-0,2195;-0,6234;-0,4474;-0,6441;-0,6027;-0,3852;-0,5095;-0,4784;-0,4681;-0,6441;-0,6855;-0,4577;-0,4163;-0,4474;-0,6027;-0,5613;-0,4163;-0,4266;-0,3852;-0,6234;-0,5509;-0,4888;-0,4474;-0,4991;-0,5923;-0,3127;0,495;-0,3749;2,8871;-0,5716;-0,4059;-0,4784;-0,292;-0,1781;-0,1574;-0,292;-0,2402;-0,1885;-0,3956;-0,2713;-0,2817;-0,4681;-0,1885;-0,3749;0,35;0,0497;1,9448;-0,3438;-0,261;0,0911
"4016";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4016"" target=""_blank"">LOXL1</a>";"protein-coding";"lysyl oxidase-like 1";"Cluster_1";-0,9302;0,0951;1,9481;0,4534;-0,7943;0,9228;1,6516;3,2946;-0,0408;3,3194;1,4293;-0,9549;-0,6708;-0,1767;-0,8437;0,1569;0,2434;-0,2014;-1,0908;-0,8314;-1,3132;-0,7078;-0,2755;-0,4361;0,4287;0,2063;-1,4614;-0,9549;-0,9055;-0,7078;-0,9055;-0,4237;-0,5596;-0,7326;-0,9673;-0,5473;-0,2014;0,2063;2,2817;0,3422;0,2063;0,824;-1,2885;-0,5349;0,3298;0,7746;0,3669;0,5522;0,3422;0,3298;0,3175;0,1569;0,3422;-0,819;-0,1272;-0,6708;0,4657;-0,189;-0,7943;0,0704
