"";"Symbol";"Type";"Title";"Cluster";"Breast";"CNS";"Colon";"Blood";"Skin";"Lung";"Ovary";"Prostate";"Kidney";"Min";"Max";"Range";"pANOVA";"FDR"
"1278";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1278"" target=""_blank"">COL1A2</a>";"protein-coding";"collagen, type I, alpha 2";"Cluster_1";4,902;7,8267;2,19;2,3767;2,392;3,12;2,2943;2,71;2,8563;1,84;10,68;8,84;1,4e-07;2,9e-06
"1293";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1293"" target=""_blank"">COL6A3</a>";"protein-coding";"collagen, type VI, alpha 3";"Cluster_1";4,58;6,7733;2,8671;3,5933;3,257;3,4356;2,86;3,63;4,195;2,57;9,41;6,84;0,0014;0,0043
"1294";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1294"" target=""_blank"">COL7A1</a>";"protein-coding";"collagen, type VII, alpha 1";"Cluster_1";6,224;6,695;5,7014;5,7433;5,86;6,1767;6,1443;5,725;6,3812;5,4;7,58;2,18;0,004;0,01
"1303";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=1303"" target=""_blank"">COL12A1</a>";"protein-coding";"collagen, type XII, alpha 1";"Cluster_1";4,636;5,505;3,8657;3,9533;4,011;4,4378;4,3257;4,015;4,0012;3,41;7,43;4,02;0,00033;0,0014
"2633";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2633"" target=""_blank"">GBP1</a>";"protein-coding";"guanylate binding protein 1, interferon-inducible";"Cluster_1";4,034;4,555;2,7671;2,9517;2,912;2,9856;3,3986;2,565;3,685;2,54;6,73;4,19;0,0014;0,0044
"2697";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=2697"" target=""_blank"">GJA1</a>";"protein-coding";"gap junction protein, alpha 1, 43kDa";"Cluster_1";5,068;5,8933;4,6257;4,865;4,63;5,2444;5,0857;5,025;5,2287;4,37;6,46;2,09;1e-06;1,3e-05
"3488";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3488"" target=""_blank"">IGFBP5</a>";"protein-coding";"insulin-like growth factor binding protein 5";"Cluster_1";5,782;6,7967;4,18;4,1467;4,309;4,3256;4,6086;4,155;4,3137;3,91;8,56;4,65;3,9e-06;3,7e-05
"3589";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=3589"" target=""_blank"">IL11</a>";"protein-coding";"interleukin 11";"Cluster_1";3,378;4,3667;2,8714;2,955;2,941;3,6289;2,9786;3,175;3,1688;2,59;6,86;4,27;0,004;0,01
"4015";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4015"" target=""_blank"">LOX</a>";"protein-coding";"lysyl oxidase";"Cluster_1";3,95;4,7083;2,7429;2,75;2,769;3,29;3,0143;2,89;3,405;2,59;6,74;4,15;0,00072;0,0026
"4016";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=4016"" target=""_blank"">LOXL1</a>";"protein-coding";"lysyl oxidase-like 1";"Cluster_1";5,378;6,68;4,97;4,625;4,766;5,33;5,5029;5,445;5,0788;4,07;7,94;3,87;3e-05;0,00019
