"";"Symbol";"Chromosome";"Description";"Cluster";"WT_00Hr_1";"WT_00Hr_2";"WT_00Hr_3";"WT_02Hr_1";"WT_02Hr_2";"WT_02Hr_3";"WT_04Hr_1";"WT_04Hr_2";"WT_04Hr_3";"WT_06Hr_1";"WT_06Hr_2";"WT_06Hr_3";"WT_08Hr_1";"WT_08Hr_2";"WT_08Hr_3";"WT_10Hr_1";"WT_10Hr_2";"WT_10Hr_3";"WT_12Hr_1";"WT_12Hr_2";"WT_12Hr_3";"WT_14Hr_1";"WT_14Hr_2";"WT_14Hr_3";"WT_16Hr_1";"WT_16Hr_2";"WT_16Hr_3";"WT_18Hr_1";"WT_18Hr_2";"WT_18Hr_3";"WT_20Hr_1";"WT_20Hr_2";"WT_20Hr_3";"WT_22Hr_1";"WT_22Hr_2";"WT_22Hr_3"
"11737";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11737"" target=""_blank"">Anp32a</a>";"9";"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A";"Cluster_1";0,3968;-0,6018;0,205;0,4303;0,4615;0,3432;1,091;1,4344;0,1809;0,8696;0,5073;0,5638;-0,1127;0,3942;-0,2158;-1,7367;-0,9061;-0,853;-1,6793;-1,6119;-1,9071;-1,9801;-2,1055;-1,843;-1,4847;-0,5425;-0,9874;-0,8736;-1,0078;-0,526;0,764;-0,1412;0,4268;0,2167;1,0428;0,1665
"11793";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11793"" target=""_blank"">Atg5</a>";"10";"autophagy related 5";"Cluster_1";-0,49;0,2374;0,2526;-1,9086;-0,6474;0,5583;-0,8261;-0,2939;-0,0351;-0,2002;-0,1998;0,4533;-1,1035;-0,5734;0,8384;-0,9198;-1,6859;-1,0871;-0,5925;-0,9538;-0,8772;-2,558;-3,0186;-2,2078;-1,4687;-1,785;-2,4998;-0,5629;-2,0791;-0,1831;-0,499;-1,601;0,7612;0,5033;0,0417;0,1153
"11833";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11833"" target=""_blank"">Aqp8</a>";"7";"aquaporin 8";"Cluster_1";0,1549;-0,6289;0,474;0,1443;-0,6727;1,014;-0,4354;-0,419;-0,5261;-0,3481;-0,9395;-0,2238;-1,0245;-0,4393;-0,5652;-1,7763;-1,2697;-1,2059;-1,778;-2,4791;-1,9053;-2,2395;-2,4859;-2,5555;-1,9846;-1,3295;-1,732;-1,0598;-1,8765;-0,8105;0,2705;-2,6564;-1,2358;0,566;0,074;0,656
"11854";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=11854"" target=""_blank"">Rhod</a>";"19";"ras homolog gene family, member D";"Cluster_1";0,3084;0,0245;-0,3329;1,5698;0,4773;-0,0666;0,4377;1,9223;0,3814;1,5469;2,1293;0,5634;0,756;0,9532;0,0502;-0,4787;-1,1606;-1,0291;-0,3079;0,1971;-2,2375;-1,1784;-0,964;-1,8631;-0,7002;-1,2627;-0,5228;-0,6703;0,2511;-0,3104;-0,5092;-0,5418;0,316;0,4961;1,2693;0,5446
"12334";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=12334"" target=""_blank"">Capn2</a>";"1";"calpain 2";"Cluster_1";0,7117;-1,2313;0,5196;0,5898;1,7494;1,0314;0,3819;0,1668;0,4734;0,8745;1,2059;-0,2664;-0,4613;0,5315;0,0388;-0,2117;-1,2573;-0,6963;-0,1832;-2,13;-1,3907;-1,2643;-1,6323;-1,2439;-0,7481;-1,4569;-1,6516;-0,2145;-1,0568;-0,1461;0,676;-2,2137;-1,4348;-0,4025;0,347;0,3332
"12739";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=12739"" target=""_blank"">Cldn3</a>";"5";"claudin 3";"Cluster_1";-0,2624;0,2265;0,0359;-0,3186;-0,2275;-0,3896;-0,208;0,804;0,7169;0,7084;0,7909;-0,3683;0,0636;0,3754;-0,3588;-1,7631;-0,7563;-2,1227;-1,2954;-1,4347;-3,4637;-2,5293;-1,1848;-2,3288;-0,3852;-0,9587;-1,1533;-0,1907;-0,3896;-1,7399;0,3435;-0,1091;0,0233;0,2639;-0,9381;-0,4056
"13124";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=13124"" target=""_blank"">Cyp8b1</a>";"9";"cytochrome P450, family 8, subfamily b, polypeptide 1";"Cluster_1";-0,0072;-0,2119;0,2191;-0,0969;0,3009;0,7314;0,6781;0,4405;0,1836;0,4405;0,9394;0,9998;0,615;0,4618;-0,1308;-0,5488;-0,0969;-0,6487;-0,6924;-4,0518;-1,3178;-1,2793;-1,7858;-0,932;-2,138;-1,6614;-0,8287;-0,6076;-0,8425;-0,9827;0,0078;-1,1978;-0,3979;-0,2119;-0,4127;0,2521
"13636";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=13636"" target=""_blank"">Efna1</a>";"3";"ephrin A1";"Cluster_1";0,0014;-0,4058;0,4044;2,1998;0,056;0,7064;1,5009;0,0509;1,645;0,0263;-0,0649;0,4926;-0,0979;0,0973;-0,545;-1,6791;-0,4209;-1,5196;-1,4768;0,059;-2,7832;-1,4389;-1,1044;-0,9368;-0,8801;-1,7143;-0,4623;-1,3407;-0,9521;-1,1923;-0,4685;-0,5118;0,1265;0,3583;-0,1923;-0,7131
"15109";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=15109"" target=""_blank"">Hal</a>";"10";"histidine ammonia lyase";"Cluster_1";-0,0682;-0,2216;0,2898;0,4697;-0,5043;-0,0491;0,1565;0,211;-0,7715;0,7592;-0,3004;0,1459;-0,1251;0,3836;-0,5043;-0,6848;-0,802;-0,6919;-1,5637;-3,0378;-1,9789;-1,8792;-1,7908;-2,0084;-1,7009;-2,3513;-2,1518;-2,1905;-2,8519;-1,22;-1,0708;-0,338;-1,3159;-0,2028;-0,2028;-0,5229
"15531";"<a href=""http://www.ncbi.nlm.nih.gov/gene/?term=15531"" target=""_blank"">Ndst1</a>";"18";"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1";"Cluster_1";-0,3902;1,0165;-0,6263;-0,2277;-0,6524;-0,6104;-0,8927;0,6571;-0,6795;0,4924;-0,7235;0,9802;-0,2848;0,4642;0,4969;-1,2565;-0,3955;-0,8739;-1,4346;-0,1422;-1,8631;-3,0965;-1,6842;-1,4399;-1,8394;-2,4284;-2,7804;-1,0669;-0,3687;-1,6038;0,2634;-0,7339;-0,4838;0,2752;0,1385;-0,0019
