"";"Symbol";"Chromosome";"Description";"Cluster";"Mean_WT_00Hr";"Mean_WT_02Hr";"Mean_WT_04Hr";"Mean_WT_06Hr";"Mean_WT_08Hr";"Mean_WT_10Hr";"Mean_WT_12Hr";"Mean_WT_14Hr";"Mean_WT_16Hr";"Mean_WT_18Hr";"Mean_WT_20Hr";"Mean_WT_22Hr";"Min";"Max";"Range";"pANOVA";"FDR"
"208715";"Hmgcs1";"13";"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1";"Cluster_1";12,5155;12,6963;12,0944;12,451;12,2466;12,3655;12,0076;11,0563;10,8854;11,6878;11,7745;12,6998;10,4803;13,7084;3,2281;0,00029;0,0018
"11833";"Aqp8";"7";"aquaporin 8";"Cluster_1";9,1734;9,2978;8,82;8,7865;8,654;8,0849;7,5958;7,3094;7,8816;8,2142;8,2462;9,5052;7,1332;9,9523;2,819;4,1e-05;0,00039
"100689";"Spon2";"5";"spondin 2, extracellular matrix protein";"Cluster_1";9,1129;9,2357;9,5096;9,2719;8,7175;8,1748;7,628;7,2279;7,3958;7,9089;8,1093;9,0333;7,1529;9,7943;2,6415;3,1e-09;1,8e-07
"13124";"Cyp8b1";"9";"cytochrome P450, family 8, subfamily b, polypeptide 1";"Cluster_1";12,3894;12,5385;12,597;12,7689;12,5402;12,1829;11,4226;11,7519;11,6513;12,0014;12,1361;12,33;10,4509;12,8677;2,4168;0,00024;0,0015
"71839";"Osgin1";"8";"oxidative stress induced growth inhibitor 1";"Cluster_1";9,819;10,0951;10,2429;10,171;9,7862;8,7181;8,8416;8,6704;9,0541;9,4333;9,6042;10,0625;8,3162;10,68;2,3638;1,2e-05;0,00015
"380712";"Tlcd2";"11";"TLC domain containing 2";"Cluster_1";8,2937;8,6819;8,1279;8,2721;8,0924;7,9551;7,77;7,8384;7,7687;8,0115;7,7374;8,1544;7,0667;9,191;2,1242;0,0038;0,014
"27219";"Sgk2";"2";"serum/glucocorticoid regulated kinase 2";"Cluster_1";8,3393;8,304;8,5108;8,9095;8,8028;8,2874;7,8014;7,8581;7,9933;8,1716;8,2348;8,4412;7,0758;9,0626;1,9867;0,00014;0,001
"17252";"Rdh11";"12";"retinol dehydrogenase 11";"Cluster_1";8,1419;8,3508;7,8776;8,0872;7,7738;7,7133;7,5145;7,4416;7,4203;7,7704;7,8653;8,2654;7,2547;9,0864;1,8317;0,0034;0,013
"60525";"Acss2";"2";"acyl-CoA synthetase short-chain family member 2";"Cluster_1";8,921;9,2986;8,7978;8,9885;8,7441;8,7001;8,5626;8,6218;8,3654;8,5495;8,5054;8,8904;8,2149;9,9077;1,6929;0,0047;0,017
"70789";"Kynu";"2";"kynureninase (L-kynurenine hydrolase)";"Cluster_1";10,2906;10,475;10,4365;10,3865;10,0945;10,0154;9,6944;9,4949;9,7686;9,98;10,4767;10,349;9,2579;10,9415;1,6836;3,8e-05;0,00037
