"","Collection","Gene_Set","Size","N_Comp","Pval_Max","Pval_Meta","Abs_NES_Min","Abs_NES_Avg","B_Cell_NES","T_Cell_Pval","Monocyte_NES","B_Cell_Pval","T_Cell_NES","Monocyte_Pval"
"1","C7_Immunologic_signatures","C7_ALL_48_GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",200,3,0.7615527,3.17229702541169e-06,0.8932841,1.79344653333333,-3.2808268,0.001,-1.2062287,0.096219935,0.8932841,0.7615527
"2","C7_Immunologic_signatures","C7_ALL_1282_GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN",200,3,0.8069498,8.99272972485108e-07,0.86729443,1.80510577666667,-3.2684,0.001,-1.2796229,0.0464716,-0.86729443,0.8069498
"3","C7_Immunologic_signatures","C7_ALL_1286_GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN",200,3,0.15239726,1.75424178540756e-11,1.1312448,2.00334616666667,-3.263806,0.001,-1.1312448,0.15239726,-1.6149877,0.001
"4","C7_Immunologic_signatures","C7_ALL_42_GSE10325_BCELL_VS_MYELOID_DN",198,3,0.22573839,4.40803086458122e-08,1.0951076,1.8729875,-3.2373857,0.001,-1.2864692,0.034545455,-1.0951076,0.22573839
"5","C7_Immunologic_signatures","C7_ALL_1270_GSE29618_BCELL_VS_MONOCYTE_DN",200,3,0.99830794,0.000331051779239211,0.6744156,1.54607679,-3.168093,0.001,-0.6744156,0.99830794,-0.79572177,0.96153843
"6","C7_Immunologic_signatures","C7_ALL_1274_GSE29618_BCELL_VS_MDC_DN",200,3,1,5.18108295137541e-08,0.58469224,1.70925344666667,-3.151724,0.001,0.58469224,1,-1.3913441,0.008474576
"7","C7_Immunologic_signatures","C7_ALL_46_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",200,3,0.87234044,1.05636339593445e-07,0.86127675,1.76036758333333,-3.064079,0.001,-1.355747,0.014035088,-0.86127675,0.87234044
"8","C4_Cancer_gene_neighborhoods","C4_CGN_324_GNF2_CASP1",111,3,0.8090909,1.08743606381068e-05,0.8515451,1.68170423333333,-3.035629,0.001,-0.8515451,0.8090909,-1.1579386,0.17596567
"9","C7_Immunologic_signatures","C7_ALL_1287_GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP",200,3,0.55487806,1.01992216091143e-05,0.9650134,1.69437003333333,-3.035511,0.001,-1.0825857,0.24780317,-0.9650134,0.55487806
"10","C7_Immunologic_signatures","C7_ALL_984_GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN",199,3,0.99812734,0.000301778849143801,0.64106464,1.49826056666667,-3.0326061,0.001,-0.82111096,0.9117148,0.64106464,0.99812734
"11","C4_Cancer_gene_neighborhoods","C4_CGN_356_GNF2_HCK",93,3,0.96043164,8.24511923384493e-06,0.72420436,1.64848955333333,-3.0275455,0.001,-0.72420436,0.96043164,-1.1937188,0.12757201
"12","C7_Immunologic_signatures","C7_ALL_1277_GSE29618_MONOCYTE_VS_MDC_UP",199,3,1,5.45091616426716e-05,0.71724397,1.59463525666667,-3.0199568,0.001,-1.046705,0.34545454,0.71724397,1
"13","C7_Immunologic_signatures","C7_ALL_1275_GSE29618_MONOCYTE_VS_PDC_UP",199,3,0.94630873,0.000236329768573993,0.8187297,1.5651812,-3.0196831,0.001,-0.8571308,0.83564013,-0.8187297,0.94630873
"14","C7_Immunologic_signatures","C7_ALL_1292_GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN",200,3,0.9168111,3.50985397121952e-07,0.82536495,1.70319591666667,-2.9645627,0.001,-0.82536495,0.9168111,-1.3196601,0.024948025
"15","C7_Immunologic_signatures","C7_ALL_980_GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",198,3,0.8380282,5.19101869059162e-05,0.8598598,1.6062132,-2.9478335,0.001,0.8598598,0.8380282,-1.0109463,0.4011628
"16","C4_Cancer_gene_neighborhoods","C4_CGN_287_GNF2_CARD15",69,3,0.05168986,1.1982141601935e-10,1.3671494,1.9392758,-2.9443908,0.001,-1.5062872,0.007633588,-1.3671494,0.05168986
"17","C7_Immunologic_signatures","C7_ALL_990_GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN",199,3,0.9920477,4.86451153147802e-05,0.7487268,1.5791844,-2.9344234,0.001,-1.054403,0.32685512,0.7487268,0.9920477
