"Collection","Gene_Set","Size","N_Comp","Pval_Max","Pval_Meta","Abs_NES_Min","Abs_NES_Avg","B_Cell_NES","T_Cell_Pval","Monocyte_NES","B_Cell_Pval","T_Cell_NES","Monocyte_Pval"
"C7_Immunologic_signatures","C7_ALL_48_GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",200,3,0.7615527,3.17229702541169e-06,0.8932841,1.79344653333333,-3.2808268,0.001,-1.2062287,0.096219935,0.8932841,0.7615527
"C7_Immunologic_signatures","C7_ALL_980_GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",198,3,0.8380282,5.19101869059162e-05,0.8598598,1.6062132,-2.9478335,0.001,0.8598598,0.8380282,-1.0109463,0.4011628
"C7_Immunologic_signatures","C7_ALL_1746_GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_DN",167,3,1,2.17071055388416e-05,0.609666,1.5264718,-2.8629835,0.001,0.609666,1,1.1067659,0.20766129
"C7_Immunologic_signatures","C7_ALL_37_GSE10325_CD4_TCELL_VS_BCELL_UP",195,3,0.050847456,1.87647100777136e-12,1.2235934,1.93500006666667,-2.8542745,0.001,1.2235934,0.050847456,-1.7271323,0.001
"C7_Immunologic_signatures","C7_ALL_1062_GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",199,3,0.5860869,4.59131992945835e-07,0.9525243,1.68092046666667,-2.8108075,0.001,-0.9525243,0.5860869,1.2794296,0.044921875
"C7_Immunologic_signatures","C7_ALL_43_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",195,3,0.14868106,1.66857853681923e-11,1.1235952,1.7781989,-2.6647236,0.001,1.1235952,0.14868106,-1.5462779,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_321_JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",223,3,0.001,5.52677165183571e-16,1.5823779,2.00050723333333,-2.6501586,0.001,1.7689852,0.001,-1.5823779,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_1493_HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN",76,3,0.76086956,1.65854025572034e-05,0.8666019,1.53688883333333,-2.6040556,0.001,0.8666019,0.76086956,1.140009,0.23552124
"C0_Hallmark","H_ALL_31_HALLMARK_INFLAMMATORY_RESPONSE",196,3,0.8997613,4.07705895223267e-05,0.848438,1.483292,-2.5500078,0.001,0.848438,0.8997613,1.0514302,0.32673267
"C7_Immunologic_signatures","C7_ALL_961_GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP",200,3,0.086363636,5.53134569362187e-12,1.1998061,2.0245446,-2.5232787,0.001,1.1998061,0.086363636,-2.350549,0.001
"C2_Chemical_and_genetic_perturbations","C2_CGP_3056_VERHAAK_GLIOBLASTOMA_MESENCHYMAL",216,3,0.9041096,8.66089505381218e-09,0.8439403,1.57383866666667,-2.5186486,0.001,0.8439403,0.9041096,1.3589271,0.0037523452
"C2_Chemical_and_genetic_perturbations","C2_CGP_2550_RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",406,3,1,0.000329823782141461,0.68861586,1.34154883666667,-2.4942355,0.001,0.68861586,1,0.84179515,0.9578544
"C2_Chemical_and_genetic_perturbations","C2_CGP_219_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN",204,3,0.6804598,3.73700209432317e-07,0.93668014,1.54450714666667,-2.4404895,0.001,0.93668014,0.6804598,1.2563518,0.034734916
"C4_Cancer_modules","C4_CM_5_MODULE_5",426,3,0.41941747,1.43802869788877e-05,1.0040675,1.48017393333333,-2.424132,0.001,1.0123223,0.3952381,1.0040675,0.41941747
"C2_Chemical_and_genetic_perturbations","C2_CGP_1787_LIAN_LIPA_TARGETS_3M",59,3,0.4040632,4.37754631189816e-08,1.0253457,1.62985783333333,-2.349658,0.001,1.0253457,0.4040632,1.5145698,0.01923077
"C7_Immunologic_signatures","C7_ALL_2_KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_DN",200,3,0.38809034,1.70456782809875e-08,1.0211669,1.57500933333333,-2.3190455,0.001,1.3848156,0.012345679,-1.0211669,0.38809034
"C2_Chemical_and_genetic_perturbations","C2_CGP_221_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",140,3,0.19532908,2.85860865943501e-09,1.1282765,1.62722136666667,-2.3075242,0.001,1.1282765,0.19532908,1.4458634,0.00990099
"C2_Chemical_and_genetic_perturbations","C2_CGP_222_TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP",171,3,0.014527845,1.43300199560839e-13,1.3416871,1.72383353333333,-2.2962973,0.001,1.3416871,0.014527845,-1.5335162,0.001
"C4_Cancer_modules","C4_CM_160_MODULE_170",98,3,0.20039293,1.21745851060921e-07,1.1255659,1.5664154,-2.2889388,0.001,1.2847415,0.06575964,1.1255659,0.20039293
"C4_Cancer_modules","C4_CM_71_MODULE_76",76,3,0.13786009,8.68314869039703e-09,1.2035036,1.63094796666667,-2.2741547,0.001,1.2035036,0.13786009,1.4151856,0.024640657
"C2_BioCarta_Pathways","C2_CP_BIOCARTA_47_BIOCARTA_CTL_PATHWAY",13,3,0.115384616,1.6221472874465e-08,1.3466266,1.71908076666667,-2.27061,0.001,1.3466266,0.115384616,-1.5400057,0.04048583
"C1_Positional","C1_ALL_235_CHR11Q11",46,3,0.001,5.52677165183571e-16,2.2542653,2.36935726666667,-2.2592165,0.001,2.2542653,0.001,2.59459,0.001
"C2_BioCarta_Pathways","C2_CP_BIOCARTA_192_BIOCARTA_THELPER_PATHWAY",12,3,0.06404959,4.28314659339798e-10,1.4928342,1.7993571,-2.2375975,0.001,1.4928342,0.06404959,-1.6676396,0.011627907
"C6_Oncogenic_signatures","C6_ALL_132_RPS14_DN_V1_UP",186,3,0.6440281,1.51812906635669e-07,0.9318343,1.49719486666667,-2.2323432,0.001,0.9318343,0.6440281,1.3274071,0.022944551
"C2_Chemical_and_genetic_perturbations","C2_CGP_1657_LIAN_LIPA_TARGETS_6M",74,3,0.41241685,1.30962806632397e-10,1.0146841,1.67878576666667,-2.2274106,0.001,1.0146841,0.41241685,1.7942626,0.001
