"","sample1","sample2","sample3","sample4"
"gene1",15,56,26,32
"gene2",6,22,8,8
"gene3",42,81,64,118
"gene4",39,8,12,4
"gene5",24,54,14,26
"gene6",0,12,12,2
"gene7",12,8,2,6
"gene8",11,14,0,12
"gene9",8,58,15,22
"gene10",57,32,21,16
"gene11",0,0,0,0
"gene12",64,27,120,42
"gene13",11,9,11,10
"gene14",147,180,205,228
"gene15",9,0,1,18
"gene16",15,80,45,42
"gene17",289,436,730,772
"gene18",5,14,0,2
"gene19",3,0,24,14
"gene20",108,254,86,124
"gene21",36,58,34,88
"gene22",14,8,11,10
"gene23",377,564,326,682
"gene24",50,14,29,8
"gene25",4,4,4,0
"gene26",0,0,6,2
"gene27",14,0,11,2
"gene28",15,15,5,10
"gene29",79,88,118,218
"gene30",16,104,72,124
"gene31",21,74,18,24
"gene32",56,117,65,122
"gene33",72,88,111,116
"gene34",79,154,136,164
"gene35",7,24,2,24
"gene36",6,18,5,2
"gene37",1,0,0,0
"gene38",34,57,36,88
"gene39",39,32,31,40
"gene40",3,0,1,0
"gene41",10,12,8,16
"gene42",17,3,65,10
"gene43",37,50,16,48
"gene44",4,2,30,10
"gene45",4,8,0,6
"gene46",18,30,22,52
"gene47",12,8,32,8
"gene48",4,14,20,38
"gene49",134,315,250,392
"gene50",133,159,164,54
"gene51",2,14,19,8
"gene52",17,21,16,40
"gene53",34,66,95,52
"gene54",4,3,0,4
"gene55",4,4,4,24
"gene56",11,3,10,6
"gene57",4,9,1,0
"gene58",17,16,9,2
"gene59",176,279,96,314
"gene60",8,20,0,2
"gene61",1,15,24,24
"gene62",115,212,276,332
"gene63",15,6,8,16
"gene64",3,14,15,10
"gene65",51,124,122,98
"gene66",133,256,134,626
"gene67",8,0,0,0
"gene68",0,30,12,18
"gene69",2,0,1,4
"gene70",206,290,185,502
"gene71",6,2,2,2
"gene72",15,99,35,48
"gene73",38,40,39,94
"gene74",0,4,0,0
"gene75",34,90,15,114
"gene76",0,2,4,0
"gene77",133,129,99,190
"gene78",40,34,62,28
"gene79",3,2,6,10
"gene80",0,0,0,0
"gene81",31,22,34,62
"gene82",4,6,21,30
"gene83",10,36,21,102
"gene84",151,128,84,192
"gene85",106,110,181,200
"gene86",14,12,16,22
"gene87",17,20,19,18
"gene88",17,14,10,16
"gene89",36,72,52,50
"gene90",31,16,79,20
"gene91",114,78,175,72
"gene92",10,14,0,2
"gene93",0,0,8,8
"gene94",46,96,70,76
"gene95",2,6,0,14
"gene96",0,0,9,6
"gene97",52,42,44,114
"gene98",24,21,5,4
"gene99",56,75,56,88
"gene100",18,34,41,48
"gene101",0,0,2,0
"gene102",6,0,12,8
"gene103",39,18,22,50
"gene104",105,105,82,104
"gene105",5,10,2,6
"gene106",49,96,46,60
"gene107",315,286,314,480
"gene108",48,105,56,90
"gene109",0,8,0,0
"gene110",1,2,0,4
"gene111",33,44,35,64
"gene112",12,96,18,50
"gene113",10,10,16,8
"gene114",29,14,31,14
"gene115",24,81,48,4
"gene116",6,12,0,18
"gene117",16,45,75,66
"gene118",32,30,21,12
"gene119",8,34,20,16
"gene120",123,84,64,96
"gene121",17,26,58,58
"gene122",0,2,1,0
"gene123",29,32,40,40
"gene124",41,15,44,70
"gene125",1,2,11,24
"gene126",119,198,76,562
"gene127",14,52,22,32
"gene128",56,138,74,194
"gene129",4,2,2,10
"gene130",5,20,0,32
"gene131",73,105,30,158
"gene132",28,2,35,20
"gene133",75,278,228,298
"gene134",107,82,158,202
"gene135",90,105,131,110
"gene136",6,4,0,0
"gene137",144,160,251,258
"gene138",2,15,0,22
"gene139",10,21,8,100
"gene140",21,10,14,6
"gene141",132,288,136,248
"gene142",4,3,2,0
"gene143",0,22,11,8
"gene144",6,0,5,14
"gene145",75,117,100,228
"gene146",10,14,5,6
"gene147",11,24,8,34
"gene148",21,40,49,72
"gene149",62,98,48,68
"gene150",15,92,71,52
"gene151",9,0,8,2
"gene152",1,0,4,0
"gene153",0,4,0,12
"gene154",12,22,6,24
"gene155",5,21,11,14
"gene156",14,50,29,18
"gene157",5,21,21,6
"gene158",203,186,76,248
"gene159",9,50,12,36
"gene160",0,0,0,0
"gene161",10,10,14,16
"gene162",18,6,5,8
"gene163",32,48,81,108
"gene164",16,4,5,20
"gene165",37,4,30,38
"gene166",102,66,92,106
"gene167",2,6,4,8
"gene168",2,2,10,20
"gene169",4,14,25,4
"gene170",75,64,66,40
"gene171",5,8,6,10
"gene172",439,700,598,722
"gene173",53,99,45,60
"gene174",130,153,48,78
"gene175",7,56,44,122
"gene176",14,3,1,8
"gene177",21,38,46,42
"gene178",1,8,20,8
"gene179",24,28,16,6
"gene180",22,45,48,14
"gene181",0,0,0,12
"gene182",0,4,0,4
"gene183",12,2,0,30
"gene184",7,0,0,2
"gene185",34,48,16,46
"gene186",6,16,11,30
"gene187",1,14,1,4
"gene188",1,2,5,0
