"","Collection","Gene_set","Size","NES_B_Cell","PValue_B_Cell","FDR_B_Cell","NES_T_Cell","PValue_T_Cell","FDR_T_Cell","NES_Monocyte","PValue_Monocyte","FDR_Monocyte"
"C7_Immunologic_signatures:C7_ALL_48_GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN","C7_Immunologic_signatures","C7_ALL_48_GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",200,-3.2808,0,0,-1.2062,0.096,0.82,0.8933,0.76,1
"C7_Immunologic_signatures:C7_ALL_1282_GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN","C7_Immunologic_signatures","C7_ALL_1282_GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN",200,-3.2684,0,0,-1.2796,0.046,0.51,-0.8673,0.81,0.99
"C7_Immunologic_signatures:C7_ALL_1286_GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN","C7_Immunologic_signatures","C7_ALL_1286_GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN",200,-3.2638,0,0,-1.1312,0.15,1,-1.615,0,0.004
"C7_Immunologic_signatures:C7_ALL_42_GSE10325_BCELL_VS_MYELOID_DN","C7_Immunologic_signatures","C7_ALL_42_GSE10325_BCELL_VS_MYELOID_DN",198,-3.2374,0,0,-1.2865,0.035,0.51,-1.0951,0.23,0.51
"C7_Immunologic_signatures:C7_ALL_1270_GSE29618_BCELL_VS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_1270_GSE29618_BCELL_VS_MONOCYTE_DN",200,-3.1681,0,0,-0.6744,1,1,-0.7957,0.96,1
"C7_Immunologic_signatures:C7_ALL_1274_GSE29618_BCELL_VS_MDC_DN","C7_Immunologic_signatures","C7_ALL_1274_GSE29618_BCELL_VS_MDC_DN",200,-3.1517,0,0,0.5847,1,1,-1.3913,0.0085,0.068
"C7_Immunologic_signatures:C7_ALL_46_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","C7_Immunologic_signatures","C7_ALL_46_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",200,-3.0641,0,0,-1.3557,0.014,0.35,-0.8613,0.87,1
"C4_Cancer_gene_neighborhoods:C4_CGN_324_GNF2_CASP1","C4_Cancer_gene_neighborhoods","C4_CGN_324_GNF2_CASP1",111,-3.0356,0,0,-0.8515,0.81,1,-1.1579,0.18,0.5
"C7_Immunologic_signatures:C7_ALL_1287_GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP","C7_Immunologic_signatures","C7_ALL_1287_GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP",200,-3.0355,0,0,-1.0826,0.25,1,-0.965,0.55,0.81
"C7_Immunologic_signatures:C7_ALL_984_GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_984_GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN",199,-3.0326,0,0,-0.8211,0.91,1,0.6411,1,1
"C4_Cancer_gene_neighborhoods:C4_CGN_356_GNF2_HCK","C4_Cancer_gene_neighborhoods","C4_CGN_356_GNF2_HCK",93,-3.0275,0,0,-0.7242,0.96,1,-1.1937,0.13,0.45
"C7_Immunologic_signatures:C7_ALL_1277_GSE29618_MONOCYTE_VS_MDC_UP","C7_Immunologic_signatures","C7_ALL_1277_GSE29618_MONOCYTE_VS_MDC_UP",199,-3.02,0,0,-1.0467,0.35,1,0.7172,1,1
"C7_Immunologic_signatures:C7_ALL_1275_GSE29618_MONOCYTE_VS_PDC_UP","C7_Immunologic_signatures","C7_ALL_1275_GSE29618_MONOCYTE_VS_PDC_UP",199,-3.0197,0,0,-0.8571,0.84,1,-0.8187,0.95,1
"C7_Immunologic_signatures:C7_ALL_1292_GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN","C7_Immunologic_signatures","C7_ALL_1292_GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN",200,-2.9646,0,0,-0.8254,0.92,1,-1.3197,0.025,0.12
"C7_Immunologic_signatures:C7_ALL_980_GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN","C7_Immunologic_signatures","C7_ALL_980_GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",198,-2.9478,0,0,0.8599,0.84,1,-1.0109,0.4,0.7
"C4_Cancer_gene_neighborhoods:C4_CGN_287_GNF2_CARD15","C4_Cancer_gene_neighborhoods","C4_CGN_287_GNF2_CARD15",69,-2.9444,0,0,-1.5063,0.0076,0.27,-1.3671,0.052,0.21
"C7_Immunologic_signatures:C7_ALL_990_GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_990_GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN",199,-2.9344,0,0,-1.0544,0.33,1,0.7487,0.99,1
"C7_Immunologic_signatures:C7_ALL_1886_GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_1886_GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN",196,-2.9266,0,0,-2.1014,0,0,-2.2193,0,0
"C7_Immunologic_signatures:C7_ALL_978_GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN","C7_Immunologic_signatures","C7_ALL_978_GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN",200,-2.923,0,0,-1.1719,0.12,0.95,-0.7138,0.99,1
"C7_Immunologic_signatures:C7_ALL_1289_GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP","C7_Immunologic_signatures","C7_ALL_1289_GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP",200,-2.9229,0,0,-0.7431,0.99,1,0.7685,0.98,1
"C7_Immunologic_signatures:C7_ALL_1280_GSE29618_PDC_VS_MDC_DN","C7_Immunologic_signatures","C7_ALL_1280_GSE29618_PDC_VS_MDC_DN",199,-2.9146,0,0,-0.6721,1,1,-1.3561,0.014,0.092
"C2_Chemical_and_genetic_perturbations:C2_CGP_1446_BROWN_MYELOID_CELL_DEVELOPMENT_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1446_BROWN_MYELOID_CELL_DEVELOPMENT_UP",162,-2.8998,0,0,-0.8597,0.8,1,-0.7913,0.95,0.96
