"","ND410-B","ND422-B","ND426-B","SLE1077-B","SLE1169-B","SLE985-B","ND410-T","ND422-T","ND426-T","SLE1077-T","SLE1169-T","SLE985-T"
"1",2,3,4,2,2,5,2,0,20,0,3,1
"2",6,20,26,4,1,2,111,46,57,17,12,31
"3",2,1,0,0,0,0,13,5,1,1,0,4
"9",26,16,39,17,20,25,10,7,17,18,39,24
"10",0,0,1,0,0,0,0,0,1,2,0,0
"12",0,0,1,0,0,0,0,0,1,0,0,1
"13",0,0,0,1,0,0,0,0,1,0,0,1
"14",47,49,68,30,33,20,53,44,26,20,79,21
"15",2,2,4,6,14,2,0,1,2,1,1,2
"16",58,71,41,32,77,46,47,42,31,26,105,27
"18",57,53,53,18,20,17,53,31,20,23,37,25
"19",3358,1583,908,1551,963,1576,463,506,246,1454,329,898
"20",47,87,91,18,12,31,102,114,154,35,42,68
"21",15,5,45,5,2,5,21,7,19,4,8,4
"22",118,103,99,93,110,81,62,53,31,61,96,53
"23",825,507,472,466,561,469,581,428,320,288,599,286
"24",0,1,0,0,0,0,1,0,0,0,0,0
"25",160,220,186,133,208,110,180,108,163,103,173,132
"26",0,2,2,0,0,0,0,0,0,0,0,0
"27",715,1074,459,192,282,217,201,411,309,183,514,203
"28",0,4,0,1,1,0,0,0,0,1,6,0
"29",320,363,377,198,236,130,136,108,158,87,133,101
"30",149,183,92,41,52,44,42,55,41,25,59,30
"31",163,122,200,190,212,149,227,179,117,136,250,146
"32",62,80,121,27,50,33,93,104,84,18,130,34
"33",0,0,0,0,0,0,0,0,0,0,0,0
"34",170,156,161,60,78,50,52,42,5,36,83,46
"35",3,2,0,2,1,1,6,1,0,2,5,2
"36",150,112,110,76,93,73,123,108,18,50,195,69
"37",375,353,294,125,136,187,247,206,117,126,142,176
"38",64,60,43,32,66,39,61,57,35,44,87,30
"39",248,212,173,97,80,81,105,149,113,66,109,69
"41",0,0,10,1,0,0,7,2,12,1,1,3
"43",2,4,1,1,3,1,1,5,0,0,1,1
"47",249,256,327,94,139,128,153,146,130,74,114,109
"48",68,59,66,25,39,21,74,43,31,26,52,31
"49",0,1,0,0,0,0,0,0,0,0,0,1
"50",132,114,91,90,130,98,63,73,19,73,128,96
"51",199,257,561,71,115,56,154,116,119,63,169,54
"52",155,155,172,245,262,257,104,74,13,174,395,194
"53",10,13,9,8,9,7,30,10,6,10,30,10
"54",17,8,23,29,38,23,2,2,2,7,3,3
"55",98,145,47,13,7,4,12,32,10,15,1,22
"56",1,3,1,0,1,0,1,4,3,1,1,0
"58",1,2,0,1,0,0,4,3,0,1,0,0
"59",6,5,15,0,6,2,6,3,8,2,5,7
"60",11673,16699,18033,5079,4564,4280,2377,2791,4384,4167,3598,5135
"70",0,0,1,0,0,0,0,0,0,0,0,0
"71",1652,2642,2584,709,695,513,478,536,835,1127,2150,1249
"72",0,0,0,0,0,0,0,0,0,0,0,0
"81",467,664,586,180,189,170,272,158,140,166,143,220
"86",66,21,84,58,88,74,50,47,9,41,122,62
"87",166,238,170,85,51,27,147,145,96,164,212,143
"88",6,10,0,6,2,4,6,11,5,3,0,4
"89",0,0,0,1,2,0,1,1,0,1,0,0
"90",46,44,106,16,23,17,65,42,44,31,27,46
"91",99,166,123,53,64,53,69,63,111,82,94,93
"92",187,109,57,81,58,47,148,101,37,78,118,89
"93",32,29,35,20,26,11,110,65,28,34,68,31
"94",3,2,0,0,0,0,0,0,0,1,0,0
"95",0,0,0,0,0,0,0,0,0,0,0,0
"97",5,8,0,7,13,5,8,6,2,1,7,8
"98",20,15,6,10,9,14,7,4,2,10,10,5
"100",138,213,43,61,32,55,65,61,21,38,39,61
"101",271,360,163,152,111,119,85,86,63,77,38,67
"102",750,851,519,214,362,192,376,354,335,195,288,241
"103",1185,1116,1292,1181,1441,1260,1025,667,436,915,1817,1024
"104",165,80,189,88,96,123,196,81,87,48,99,48
"105",0,0,3,0,0,1,0,1,0,1,0,1
"107",4,2,21,11,6,2,4,7,30,4,6,2
"108",2,0,0,0,0,0,0,0,0,0,0,0
"109",94,59,91,116,148,174,28,24,11,40,23,27
"111",0,0,1,0,2,1,5,2,0,0,7,5
"112",1,2,0,0,0,1,1,1,0,1,0,3
"113",424,569,379,159,152,192,501,311,240,142,165,270
"114",0,0,0,0,0,0,0,0,0,0,0,0
"115",136,217,94,12,14,15,35,89,65,23,38,39
"116",1,2,0,0,0,3,0,0,1,0,1,0
"117",0,0,0,0,0,0,0,0,0,0,0,0
"118",471,427,631,210,302,267,188,128,116,87,234,169
"119",85,40,26,29,41,53,11,21,20,9,15,13
"120",1545,1528,2041,535,808,732,1608,1022,630,782,2308,932
"123",1004,1788,1502,220,179,116,181,460,346,229,159,215
"124",0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0
"127",1,0,0,1,0,0,2,0,1,0,0,0
"128",109,98,114,66,159,109,74,38,28,93,272,95
"130",0,1,0,1,0,0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,0,0
"132",267,91,141,149,155,146,56,62,92,48,79,52
"133",87,149,26,54,7,12,15,38,36,33,2,14
"134",0,0,1,0,0,0,0,0,0,0,0,0
"135",2,3,0,1,0,0,0,2,0,0,1,0
"136",26,41,50,9,10,5,7,16,12,9,13,10
"140",3,13,5,0,5,1,1,0,0,1,4,2
"141",120,82,86,78,99,61,12,18,47,36,3,16
"142",387,196,202,210,377,198,117,98,119,79,200,111
"143",477,615,646,282,476,280,302,285,264,219,707,310
"146",0,0,0,1,0,0,0,1,0,0,0,0
"147",2,0,0,0,1,0,0,0,0,0,0,0
"148",0,0,1,0,0,0,0,0,1,0,0,1
"150",2,0,0,2,0,2,0,0,2,1,0,0
"151",14,17,40,3,3,3,111,51,152,8,1,1
"152",0,0,0,0,0,0,0,0,0,0,0,1
"153",3,1,1,0,0,0,0,1,0,2,0,2
"154",215,342,385,61,28,30,160,165,328,46,46,61
"155",0,0,1,0,0,0,0,0,0,0,0,0
"156",134,180,191,99,97,83,98,82,96,60,116,60
"157",946,719,814,263,417,326,48,96,106,82,16,108
"158",53,52,58,80,88,104,67,46,94,100,241,116
"159",205,175,307,95,172,132,165,104,98,126,321,131
"160",46,80,58,20,19,17,18,17,34,13,15,16
"161",45,60,36,28,24,21,63,37,40,23,41,34
"162",460,213,307,404,661,450,98,72,53,87,125,81
"163",638,602,748,456,540,336,462,345,226,313,589,408
"164",2128,1634,1714,1351,1450,1398,1162,960,594,911,1222,842
"165",56,32,54,28,39,40,68,29,12,9,26,21
"166",236,214,421,135,138,124,144,101,67,101,297,100
"172",35,37,37,54,81,56,67,40,27,37,54,33
"173",0,0,0,0,0,0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0,0,0
"175",42,29,12,22,34,28,13,6,4,20,41,35
"176",1,0,2,2,3,4,0,4,1,3,4,4
"177",25,17,17,7,15,6,28,56,11,7,8,4
"178",112,74,102,80,120,104,128,63,26,71,179,93
"181",0,0,0,0,0,0,0,0,0,0,0,0
"182",82,154,58,35,9,6,34,22,16,49,5,18
"183",0,0,1,0,0,0,0,0,0,0,2,1
"185",0,0,1,0,0,0,0,0,1,1,0,1
"186",0,0,0,0,0,0,0,0,0,0,0,2
"187",0,0,1,0,0,1,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0
"191",74,65,46,22,23,28,54,57,19,23,42,18
"196",2034,1525,850,680,451,377,887,641,656,976,322,663
"199",890,1347,492,228,53,128,121,202,413,349,57,360
"202",1209,1086,2109,339,883,428,1306,671,743,1232,6196,2315
"203",23,32,49,37,43,24,64,87,90,39,85,27
"204",317,449,504,151,291,135,194,136,160,113,323,145
"205",34,17,1,5,4,1,3,5,1,6,2,6
"207",113,137,72,59,59,50,68,54,24,37,46,44
"208",326,231,324,493,700,569,273,174,173,273,422,262
"210",68,83,43,17,24,26,23,31,3,27,39,42
"211",281,236,307,47,73,31,138,153,225,43,59,53
"212",5,0,0,41,2,51,3,0,0,62,1,34
"213",0,1,0,0,2,0,1,0,0,0,0,0
"214",321,399,282,156,127,146,112,69,74,140,54,64
"215",28,17,15,8,8,8,11,6,1,7,3,5
"216",207,118,11,11,4,9,15,42,63,12,1,9
"217",258,376,200,53,40,25,27,60,87,50,8,45
"218",0,0,0,0,0,0,0,0,0,0,3,1
"219",4,4,0,6,7,6,2,1,2,3,9,8
"220",0,1,0,0,1,0,0,1,0,0,0,0
"221",49,85,22,12,3,6,6,25,12,7,0,16
"222",0,0,0,0,0,0,0,0,0,0,0,0
"223",154,149,201,118,193,218,128,59,69,111,292,148
"224",121,123,154,36,38,19,104,105,107,38,102,50
"225",5,10,19,3,1,4,49,31,38,13,21,27
"226",578,815,567,179,167,115,147,189,149,187,254,187
"229",0,0,0,0,3,1,3,8,19,2,4,0
"230",24,35,38,3,9,7,21,17,15,8,25,23
"231",118,96,187,72,77,48,84,49,38,48,132,64
"238",3,4,0,3,2,1,9,11,7,4,6,6
"239",14,13,34,10,11,3,12,12,16,14,8,17
"240",253,251,349,244,180,263,25,40,25,83,9,76
"241",292,612,998,295,184,196,81,59,78,285,160,239
"242",0,0,0,0,0,0,0,0,1,0,0,4
"245",1,4,2,0,1,0,1,2,19,0,2,0
"246",0,3,0,0,0,0,0,0,0,0,0,0
"247",6,5,0,0,0,0,0,1,0,0,0,1
"248",0,0,0,0,0,0,0,0,0,0,0,0
"249",24,3,4,22,77,14,0,0,0,21,0,6
"250",0,1,0,0,1,1,0,0,0,0,0,1
