"","Collection","Gene_set","Size","NES_b_cell","PValue_b_cell","FDR_b_cell","SLE>Control","NES_t_cell","PValue_t_cell","FDR_t_cell","SLE>Control"
"1","C7_Immunologic_signatures","C7_ALL_48_GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",200,-3.2808,0,0,"No",-1.2062,0.096,0.82,"No"
"2","C7_Immunologic_signatures","C7_ALL_1282_GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN",200,-3.2684,0,0,"No",-1.2796,0.046,0.51,"No"
"3","C7_Immunologic_signatures","C7_ALL_1286_GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN",200,-3.2638,0,0,"No",-1.1312,0.15,1,"No"
"4","C7_Immunologic_signatures","C7_ALL_42_GSE10325_BCELL_VS_MYELOID_DN",198,-3.2374,0,0,"No",-1.2865,0.035,0.51,"No"
"5","C7_Immunologic_signatures","C7_ALL_1270_GSE29618_BCELL_VS_MONOCYTE_DN",200,-3.1681,0,0,"No",-0.6744,1,1,"No"
"6","C7_Immunologic_signatures","C7_ALL_1274_GSE29618_BCELL_VS_MDC_DN",200,-3.1517,0,0,"No",0.5847,1,1,"Yes"
"7","C7_Immunologic_signatures","C7_ALL_46_GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",200,-3.0641,0,0,"No",-1.3557,0.014,0.35,"No"
"8","C4_Cancer_gene_neighborhoods","C4_CGN_324_GNF2_CASP1",111,-3.0356,0,0,"No",-0.8515,0.81,1,"No"
"9","C7_Immunologic_signatures","C7_ALL_1287_GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP",200,-3.0355,0,0,"No",-1.0826,0.25,1,"No"
"10","C7_Immunologic_signatures","C7_ALL_984_GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN",199,-3.0326,0,0,"No",-0.8211,0.91,1,"No"
"11","C4_Cancer_gene_neighborhoods","C4_CGN_356_GNF2_HCK",93,-3.0275,0,0,"No",-0.7242,0.96,1,"No"
"12","C7_Immunologic_signatures","C7_ALL_1277_GSE29618_MONOCYTE_VS_MDC_UP",199,-3.02,0,0,"No",-1.0467,0.35,1,"No"
"13","C7_Immunologic_signatures","C7_ALL_1275_GSE29618_MONOCYTE_VS_PDC_UP",199,-3.0197,0,0,"No",-0.8571,0.84,1,"No"
"14","C7_Immunologic_signatures","C7_ALL_1292_GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN",200,-2.9646,0,0,"No",-0.8254,0.92,1,"No"
"15","C7_Immunologic_signatures","C7_ALL_980_GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",198,-2.9478,0,0,"No",0.8599,0.84,1,"Yes"
"16","C4_Cancer_gene_neighborhoods","C4_CGN_287_GNF2_CARD15",69,-2.9444,0,0,"No",-1.5063,0.0076,0.27,"No"
"17","C7_Immunologic_signatures","C7_ALL_990_GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN",199,-2.9344,0,0,"No",-1.0544,0.33,1,"No"
"18","C7_Immunologic_signatures","C7_ALL_1886_GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN",196,-2.9266,0,0,"No",-2.1014,0,0,"No"
"19","C7_Immunologic_signatures","C7_ALL_978_GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN",200,-2.923,0,0,"No",-1.1719,0.12,0.95,"No"
"20","C7_Immunologic_signatures","C7_ALL_1289_GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP",200,-2.9229,0,0,"No",-0.7431,0.99,1,"No"
"21","C7_Immunologic_signatures","C7_ALL_1280_GSE29618_PDC_VS_MDC_DN",199,-2.9146,0,0,"No",-0.6721,1,1,"No"
"22","C2_Chemical_and_genetic_perturbations","C2_CGP_1446_BROWN_MYELOID_CELL_DEVELOPMENT_UP",162,-2.8998,0,0,"No",-0.8597,0.8,1,"No"
"23","C7_Immunologic_signatures","C7_ALL_996_GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN",200,-2.8966,0,0,"No",-0.9948,0.45,1,"No"
"24","C7_Immunologic_signatures","C7_ALL_1899_GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP",192,-2.8879,0,0,"No",-1.9496,0,0,"No"
"25","C4_Cancer_gene_neighborhoods","C4_CGN_419_GNF2_TNFRSF1B",64,-2.8873,0,0,"No",-0.7386,0.94,1,"No"
"26","C4_Cancer_gene_neighborhoods","C4_CGN_330_GNF2_CD33",51,-2.8853,0,0,"No",-2.0468,0,0.0049,"No"
"27","C7_Immunologic_signatures","C7_ALL_73_GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",193,-2.8696,0,0,"No",-0.9716,0.55,1,"No"
"28","C7_Immunologic_signatures","C7_ALL_1746_GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_DN",167,-2.863,0,0,"No",0.6097,1,1,"Yes"
"29","C7_Immunologic_signatures","C7_ALL_1905_GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP",192,-2.8612,0,0,"No",-1.9707,0,0,"No"
"30","C7_Immunologic_signatures","C7_ALL_37_GSE10325_CD4_TCELL_VS_BCELL_UP",195,-2.8543,0,0,"No",1.2236,0.051,0.19,"Yes"
"31","C4_Cancer_gene_neighborhoods","C4_CGN_329_GNF2_CD1D",44,-2.8498,0,0,"No",-1.9237,0,0.0073,"No"
"32","C7_Immunologic_signatures","C7_ALL_1884_GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN",197,-2.8366,0,0,"No",-1.7935,0,0.00052,"No"
"33","C4_Cancer_gene_neighborhoods","C4_CGN_392_GNF2_PECAM1",56,-2.8354,0,0,"No",-0.7885,0.84,1,"No"
"34","C7_Immunologic_signatures","C7_ALL_1888_GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN",191,-2.8171,0,0,"No",-2.0907,0,0,"No"
"35","C7_Immunologic_signatures","C7_ALL_1062_GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",199,-2.8108,0,0,"No",-0.9525,0.59,1,"No"
"36","C7_Immunologic_signatures","C7_ALL_1903_GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP",193,-2.8016,0,0,"No",-2.0208,0,0,"No"
"37","C7_Immunologic_signatures","C7_ALL_70_GSE11057_CD4_CENT_MEM_VS_PBMC_DN",191,-2.8004,0,0,"No",-1.042,0.35,1,"No"
