"","Breast_GSM133995","Breast_GSM134000","Breast_GSM134005","Breast_GSM134010","Breast_GSM134015"
"2_A2M",3.06,2.87,3.06,2.82,2.94
"12_SERPINA3",4.52,4.29,4.23,4.18,4.61
"16_AARS",7.65,7.47,8.1,7.96,7.89
"29_ABR",6.74,6.59,6.42,6.62,6.27
"34_ACADM",5.8,7.05,6.44,6.65,5.43
"39_ACAT2",7.55,8.19,8.66,8.5,7.65
"48_ACO1",4.85,7.68,6.93,6.06,5.68
"52_ACP1",7.89,7.4,8.24,5.28,6.79
"54_ACP5",5.18,4.74,4.7,4.87,4.99
"59_ACTA2",5.38,4.33,12.06,10.51,6.77
"72_ACTG2",2.8,2.88,10.62,3.34,2.9
"81_ACTN4",9.39,11.06,11.23,11.03,9.1
"87_ACTN1",6.88,9.08,9.72,8.79,6.9
"90_ACVR1",4.41,4.44,5.92,4.04,3.64
"97_ACYP1",5.33,7.16,6.13,6.82,5.7
"100_ADA",6.26,5.51,6.29,5.9,5.86
"104_ADARB1",3.61,3.36,3.69,3.01,3.05
"113_ADCY7",3.31,4.13,4.47,3.12,3.09
"115_ADCY9",4.44,5.11,5.14,4.38,4.91
"123_PLIN2",4.43,6.33,3.6,7.98,5.59
"133_ADM",4.83,7.01,8,6.3,6.4
"134_ADORA1",5.4,4.78,4.81,4.68,5.23
"136_ADORA2B",4.66,6.63,6,5.62,3.69
"143_PARP4",3.06,4.8,3.57,4.05,3.76
"154_ADRB2",3.68,6.47,3.94,4.91,3.97
"163_AP2B1",6.53,8.29,6.87,7.92,7.69
"165_AEBP1",5.33,4.72,4.65,5.23,4.83
"166_AES",6.2,8.38,7.61,8.17,7.42
"175_AGA",5.33,5.74,5.6,4.39,6.03
"178_AGL",4.31,4.55,4.12,3.71,4.77
"190_NR0B1",3.78,3.02,3.37,2.99,3.19
"196_AHR",2.64,3.49,4.74,3.9,2.69
"202_AIM1",4.72,5.25,3.74,5.11,6.06
"205_AK4",5.05,5.33,5.03,5.68,4.62
"211_ALAS1",6.61,7.13,7.05,7.09,6.93
"214_ALCAM",3.65,6.29,6.63,7.37,4.07
"216_ALDH1A1",3.03,2.61,2.74,2.95,2.86
"217_ALDH2",4.82,6.95,4.25,5.74,5.19
"218_ALDH3A1",5.5,4.87,4.68,4.8,4.83
"220_ALDH1A3",3.56,3.6,3.61,3.97,3.85
"221_ALDH3B1",5.29,5.59,5.1,5.2,5.74
"224_ALDH3A2",5.28,5.25,5.52,5.07,5.81
"230_ALDOC",7.66,6.68,6.41,7.56,8.11
"231_AKR1B1",5.05,9.31,9.5,7.62,4.62
"238_ALK",3.79,3.9,3.91,3.95,4.1
"241_ALOX5AP",3.9,3.7,3.95,3.9,3.73
"273_AMPH",4.46,3.72,6.04,4,3.95
"274_BIN1",5.6,6.51,6.59,6.62,5.89
"288_ANK3",5.63,8.93,7.3,8.6,6.99
"290_ANPEP",5.9,5.26,6.38,8.36,5.58
"301_ANXA1",3.83,8.01,7.81,8.07,4.21
"302_ANXA2",6.53,10.85,9.88,7.87,8.01
"303_ANXA2P1",6.43,7.59,7.34,7.2,6.86
"306_ANXA3",3.95,7.48,2.62,2.77,4.56
"307_ANXA4",4.33,5.09,4.75,4.82,4.54
"308_ANXA5",6.15,7.69,7.75,7.55,6.63
"309_ANXA6",7.71,7.94,8.81,7.18,8.75
"310_ANXA7",5.73,6.23,5.51,5.67,6.47
"316_AOX1",4.16,5.39,4.69,4.41,4.02
"328_APEX1",7.91,8.53,8.52,8.27,8.26
"329_BIRC2",4.06,6.79,6,5.65,5.75
"334_APLP2",7.43,9.03,6.75,8.55,9.25
"341_APOC1",3.51,3.83,3.31,2.52,2.84
"347_APOD",3.76,3.59,3.9,3.84,6.38
"348_APOE",6.12,5.13,5.08,5.32,8.55
"351_APP",6.7,8.73,8.91,8.91,8.71
"360_AQP3",5.52,4.08,3.89,4.16,3.97
"372_ARCN1",5.51,6.71,6.2,6.27,6.57
"374_AREG",3.87,3.81,3.23,3.24,5.24
"378_ARF4",7.35,8.97,9.59,8.93,8.3
"379_ARL4D",7.68,8.1,8.66,7.91,8.17
"389_RHOC",8.79,11,10.48,10.35,10.07
"390_RND3",3.86,7.01,7.44,6.97,4.2
"393_ARHGAP4",6.76,5.88,6.01,5.85,6.66
"395_ARHGAP6",2.98,2.36,2.65,2.6,2.57
"397_ARHGDIB",4.86,5.56,4.47,4.58,4.98
"399_RHOH",3.84,2.94,3.03,2.82,3.79
"409_ARRB2",5.31,5.74,5.32,5.95,5.2
"412_STS",3.72,3.71,3.34,3.28,3.22
"419_ART3",2.94,2.67,2.76,3.02,2.63
"427_ASAH1",5.08,5.22,6.16,6.01,6.45
"430_ASCL2",5.75,5.65,5.43,6.05,6.19
"435_ASL",5.28,5.33,5.29,4.01,5.9
"440_ASNS",7.22,8.85,9.27,7.06,4.63
"444_ASPH",3.22,5.9,7.28,6.68,4.37
"466_ATF1",4.26,5.45,4.32,4.82,3.77
"468_ATF4",8.8,10.28,10.7,10.19,9.61
"471_ATIC",7.34,6.95,7.14,6.55,7.02
"475_ATOX1",8.26,9.36,8.54,9.01,9.08
"476_ATP1A1",8.88,10.18,8.78,9.22,8.26
"481_ATP1B1",8.84,10.17,8.84,8.86,9.41
"490_ATP2B1",5.96,7.16,6.39,6.86,6.08
"498_ATP5A1",10.27,8.68,8.77,8.07,9.18
"506_ATP5B",9.31,8.06,8.53,8.01,9.42
"513_ATP5D",9.23,8.7,8.81,8.84,8.79
"522_ATP5J",6.71,7.55,6.94,7.01,7.7
"526_ATP6V1B2",4.7,6.14,5.74,6.46,6.2
"529_ATP6V1E1",8.65,8.78,9.34,8.89,8.8
"547_KIF1A",7.11,6.31,6.12,6.39,6.53
"549_AUH",5.05,5,4.11,4.7,4.84
"558_AXL",4.65,8.66,8.57,7.89,4.78
"563_AZGP1",4.38,3.82,3.77,3.89,5.86
"566_AZU1",7.1,6.06,6.39,6.2,6.4
"567_B2M",8.22,9.82,9.76,9.64,9.12
"571_BACH1",2.8,5.28,5.62,4.65,4.75
"578_BAK1",5.51,6.43,5.82,4.22,5.14
"586_BCAT1",2.96,5.76,4.92,4.8,3.33
"590_BCHE",2.54,2.65,2.97,2.75,2.42
"595_CCND1",7.9,9.05,8.32,5.94,7.82
"597_BCL2A1",2.79,2.67,2.73,2.78,2.83
"598_BCL2L1",6.88,9.08,6.9,7.37,7.91
"605_BCL7A",5.2,4.26,3.93,3.74,5.09
"610_HCN2",4.51,2.74,4,2.82,3.45
"627_BDNF",3.74,4.95,5.12,4.94,3.27
"633_BGN",7.21,7.01,9.94,7.04,7.02
"634_CEACAM1",3.86,3.8,3.76,3.87,4.03
"637_BID",5.44,5.69,6.19,6.11,6.09
"638_BIK",4.5,3.63,3.48,3.68,3.63
"641_BLM",5.89,5.79,5.14,5.38,5.14
"644_BLVRA",7.44,7.51,7.27,6.7,8.16
"645_BLVRB",8.56,7.38,7.19,6.3,8.73
"646_BNC1",2.83,3.21,3,2.72,2.62
"649_BMP1",6.25,8.06,6.68,8,6.76
"652_BMP4",5.08,7.44,5.06,6.59,5.53
"653_BMP5",4.45,4.32,3.85,4.27,4.18
"664_BNIP3",5.22,6.77,6.38,6.65,4.68
"665_BNIP3L",3.98,6.1,7.1,6.73,5.06
"666_BOK",6.11,6.79,7.23,6.71,6.59
"678_ZFP36L2",6.39,7.19,7.8,6.93,7.7
"683_BST1",3.11,2.98,5.37,3.72,2.99
"684_BST2",7.39,8.78,4.97,8.52,8.73
"687_KLF9",4.6,3.98,5.32,3.96,4.7
"688_KLF5",3.6,4.69,4.4,4.63,2.69
"699_BUB1",4.8,6.8,4.89,5.3,3.9
"706_TSPO",9.13,10.63,10.9,10.55,9.42
"708_C1QBP",9,8.75,8.85,8.76,7.85
"715_C1R",4.74,4.21,6,5.95,4.61
"716_C1S",4.19,3.77,6.33,6.26,4.09
"725_C4BPB",3.14,6.58,2.81,3.16,3.07
"734_OSGIN2",5.17,4.5,5.49,4.84,5.11
"745_MYRF",5.87,5.58,5.43,5.4,5.59
"752_FMNL1",5.77,6.77,5.6,5.52,5.67
"754_PTTG1IP",6.94,9.29,9,9.06,8.06
"760_CA2",1.76,2.33,1.88,2.45,1.97
"767_CA8",3.76,2.61,4.6,3.36,3.35
"768_CA9",6.62,5.98,6.27,6.64,6.28
"771_CA12",5.46,4.86,5.39,4.73,6.94
"780_DDR1",8.66,6.89,6.74,6.38,9.02
"793_CALB1",2.96,2.59,2.47,2.58,2.64
"794_CALB2",6.48,6.57,5.19,5.27,5.34
"800_CALD1",3.03,5.41,8.29,5.36,3.05
"801_CALM1",7.6,6.55,6.16,6.99,6.9
"822_CAPG",6.23,8.01,7.03,6.79,6.3
"823_CAPN1",7.61,8.34,7.41,7.48,8.05
"824_CAPN2",4.95,9.45,8.69,9.47,7.62
"834_CASP1",3.4,2.95,3.13,3.05,3.19
"837_CASP4",3.43,5.38,5.84,4.39,3.98
"839_CASP6",5.67,5.51,4.32,4.05,4.75
"847_CAT",4.28,4.74,4.38,3.93,6.04
"857_CAV1",3.35,9.07,9.24,8.92,2.69
"858_CAV2",4.55,7.1,6.43,7.14,4.12
"864_RUNX3",4.37,4.47,3.98,4.73,4.64
"865_CBFB",6.79,7.79,7.45,8.44,6.51
"866_SERPINA6",5.3,4.48,4.89,4.73,9.54
"871_SERPINH1",9.19,8.95,10.77,9.51,8.77
"873_CBR1",5.49,5.77,6.27,5.7,5.81
"874_CBR3",4.78,5.72,5.75,5.64,4.95
"890_CCNA2",7.84,8.67,8.1,7.55,7.6
"891_CCNB1",6.09,6.16,5.43,6.85,5.35
"892_CCNC",5.94,6.77,6.31,7.22,5.8
"894_CCND2",4.78,4.8,4.63,4.72,4.99
"896_CCND3",6.6,8.05,7.05,7.2,7
"898_CCNE1",5.08,5.72,5.46,5.41,5.34
"900_CCNG1",5.77,6.04,6.22,5.74,6.57
"902_CCNH",2.61,4.17,3.43,2.8,2.69
"908_CCT6A",6.2,7.58,7.45,8.24,6.81
"910_CD1B",3.39,2.78,2.71,2.61,2.94
"913_CD1E",3.41,3.29,3.43,3.47,3.32
"915_CD3D",3.75,3.33,3.24,3.39,3.37
"916_CD3E",6.13,5.54,5.6,5.68,5.88
"917_CD3G",3.62,3.21,3.2,3.32,3.4
"919_CD247",4.73,4.28,4.09,3.88,4.4
"926_CD8B",6.78,6.06,6.24,6.46,6.55
"928_CD9",6.81,6.17,4.88,5.96,5.44
"943_TNFRSF8",5.68,4.85,5.23,5.15,5.31
"945_CD33",6.11,5.71,5.66,5.89,5.93
"949_SCARB1",7.75,7.19,6.96,7.22,8.22
"950_SCARB2",6.85,6.72,7.3,7.41,6.97
"955_ENTPD6",7.04,7.63,7.25,7.43,7.23
"960_CD44",4.19,8.14,7.29,7.32,3.99
"963_CD53",2.77,2.96,2.94,3.12,2.88
"965_CD58",3.88,5.43,5.39,4.94,3.93
"967_CD63",8.52,8.92,9.12,8.89,9.13
"968_CD68",7.18,8.29,8.28,7.59,7.76
"970_CD70",7.41,6.39,7.11,9.71,6.82
"972_CD74",5.01,6.68,4.99,5.13,5.45
"975_CD81",8.48,9.46,9.68,8.89,8.73
"977_CD151",8.04,9.01,9.5,8.27,8.28
"978_CDA",6.31,6.76,5.52,5.62,5.74
"987_LRBA",5.45,5.29,4.42,4.24,6.5
"991_CDC20",8.17,8.82,9.16,9.35,7.93
"994_CDC25B",8.87,8.6,9.14,9.66,8.05
"999_CDH1",6.26,4.4,4.42,4.6,6.57
"1000_CDH2",3.38,3.1,7.22,5.83,2.84
"1004_CDH6",3.7,3.4,4.22,4.05,3.64
"1015_CDH17",2.94,2.91,2.99,3.33,2.87
"1017_CDK2",7.16,7.7,7.04,7.76,7.36
"1022_CDK7",5.52,6.62,6.08,6.01,6.26
"1026_CDKN1A",7.01,7.28,7.14,6.31,7.03
"1028_CDKN1C",4.49,4.98,4.32,4.45,4.6
"1029_CDKN2A",6.06,5.21,5.86,11.95,7.89
"1031_CDKN2C",6.12,6.91,8.08,8.59,6.49
"1033_CDKN3",7.66,8.69,7.1,7.96,7.7
"1040_CDS1",4.43,3.39,3.36,3.29,4.6
"1043_CD52",3.87,3.09,3.12,3.31,3.37
"1045_CDX2",3.39,3.02,3.37,3,3.33
"1051_CEBPB",7.3,8.4,9.29,7.76,7.45
"1052_CEBPD",3.98,4.95,6.16,6.95,4.81
"1054_CEBPG",6.09,6.78,7.15,6.45,5.9
"1063_CENPF",4.31,6.75,6.19,5.68,5.66
"1070_CETN3",7.16,7.8,6.21,5.81,6.15
"1073_CFL2",4.33,5.84,6.22,6.16,4.29
"1087_CEACAM7",3.56,5.35,3.65,4.25,4.11
"1102_RCBTB2",2.53,2.77,3.15,3.55,2.52
"1112_FOXN3",3.88,5.93,5.93,4.51,3.92
"1114_CHGB",2.49,2.54,2.41,2.91,2.7
"1116_CHI3L1",2.99,2.86,3.06,3.3,2.97
"1124_CHN2",4.24,3.76,3.49,3.85,3.75
"1152_CKB",8.5,7.61,6.79,7.75,8.38
"1176_AP3S1",7.96,8.88,8.98,8.21,7.74
"1191_CLU",7.09,7.22,7.35,8.19,9.09
"1192_CLIC1",9.21,11.14,10.32,9.46,8.53
"1193_CLIC2",2.66,2.44,2.35,2.35,2.67
"1200_TPP1",4.7,5.48,4.76,5.32,5.25
"1207_CLNS1A",6.9,7.01,7.17,6.83,7.39
"1230_CCR1",3.38,3.24,3.24,3.25,3.18
"1264_CNN1",4.14,3.7,8.67,4.3,3.78
"1266_CNN3",2.96,8.49,7.83,7.46,7.34
"1268_CNR1",3.54,2.86,2.65,2.69,3.01
"1277_COL1A1",7.12,6.41,10.3,7.18,6.79
