Gene_ID	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
11304	129	116	32	110	32	831	38
11363	931	2419	473	494	945	2910	1610
11364	1485	2014	980	788	1173	2296	1502
11409	1315	2284	1158	730	1103	998	1559
11421	2192	211	203	835	433	2218	340
11434	5	4	30	1	5	8	3
11443	135	882	57	54	88	820	458
11459	23	865	8	9	5	46555	3287
11468	2230	161	550	603	206	449	83
11470	8	44	11	26	19	15	12
11474	10	21	25	20	13	12764	223
11522	77	0	0	14	34	196	0
11548	2	6	4	2	13	36	51
11550	99	3	11	12	25	26	7
11565	365	119	121	113	84	781	112
11572	0	0	0	0	0	0	0
11576	1	0	1	1	0	2	0
11602	60	5	0	11	2	18	5
11607	173	162	20	82	29	222	70
11610	877	442	484	330	327	1740	372
11622	1030	167	142	312	281	663	211
11639	1529	3967	2158	661	342	5573	3770
11643	0	0	0	0	0	1	1
11648	0	1	0	0	0	0	0
11668	99	176	188	105	120	575	78
11690	2015	91	179	407	262	1036	167
11692	1775	2140	1709	1619	2464	2343	1586
11699	0	10	0	0	4	0	0
11702	0	0	0	0	0	1	0
11705	17	20	21	15	16	3	13
11740	15372	17928	14232	14734	14612	15513	15835
11754	2023	126	423	421	269	566	214
11803	3168	1572	3130	1598	1790	467	1034
11804	12423	9191	9317	6654	7578	16278	10387
11812	13	1	6	4	31	99	1
11821	2341	4513	2298	2099	1451	2034	2825
11831	342	235	471	26	119	168	655
11833	2	1	0	1	0	0	0
11837	32934	70363	36947	23545	35567	31436	41661
11840	14593	15490	12263	10399	11874	14381	15585
11843	11049	11123	13746	7505	9030	13012	15127
11844	4091	3063	3979	3136	3768	3042	5329
11848	13019	11770	8317	7858	9021	13472	13286
11853	2154	1704	796	1196	1068	3004	1182
11871	71	5	2	9	34	2	4
11878	466	0	295	203	1664	353	30
11908	1018	1350	883	950	997	1399	1456
11947	42903	60653	35384	30958	40275	90425	50355
11966	9658	7692	7108	5587	5601	8012	7373
11983	5159	6140	4059	3889	3955	5236	4700
12005	4377	4576	2971	2987	4935	5901	4696
12033	1375	1602	1251	1038	1158	1384	1098
12050	1685	1544	2059	1022	1363	1949	1813
12062	425	89	196	63	55	216	209
12096	1	3	1	1	6	6	2
12156	174	30	35	67	54	94	9
12183	1824	1769	1636	1711	2088	1547	2427
12215	16271	20532	12318	11045	9843	11342	17368
12235	4728	8072	4191	3782	5696	8199	10145
12261	1979	3913	2590	2086	2735	2390	3676
12299	11	38	1	9	2	463	27
12308	898	645	850	72	110	356	350
12311	0	0	2	2	0	2	0
12319	1	3	1	112	149	57	6
12338	100	120	129	310	104	540	36
12359	5132	8806	4666	3861	5247	6552	6489
12361	7077	7496	9510	5408	7095	5696	6912
12362	1263	201	138	277	265	948	93
12367	6834	13703	6486	5458	6359	8982	6798
12390	2356	895	808	998	1195	1088	407
12409	1828	44	343	502	20	1473	83
12417	2101	1896	2810	2005	2742	1492	3131
12418	1278	916	1131	975	768	800	1424
12424	47	9	2	15	17	100	38
12460	375	294	445	549	469	470	448
12461	17596	29823	20020	15337	21028	29696	22648
12496	106	157	66	153	117	162	22
12502	127	18	4	46	65	64	5
12503	95	7	7	32	61	87	15
12526	75	25	0	21	99	58	1
12556	0	0	0	1	2	1	0
12571	3523	2589	3971	41490	12024	2608	8431
12572	1956	2539	1415	1373	1642	2613	1609
12609	780	51	176	320	216	764	93
12613	4	3	4	5	5	0	1
12649	1637	2042	952	1188	1510	2016	2696
12652	3101	1464	1239	806	676	270	806
12659	242	230	314	318	214	214	320
12684	1	3	5	1	0	4	9
12702	3138	4617	2421	2167	2371	2973	3393
12721	5385	840	1393	1820	1568	2383	991
12767	4566	11554	6561	11805	9374	10616	14716
12773	2	1	0	2	9	2	0
12790	0	0	1	0	5	2	1
12795	1046	1638	1581	893	1292	1384	1302
12798	5372	1247	927	2511	1181	1881	1467
12799	1110	1174	377	1103	1595	1326	691
12812	1123	1899	957	961	908	1228	1634
12826	55034	20037	19582	30054	22499	31137	26922
12843	196976	5983	30564	58891	30827	38278	11584
12857	9201	14068	7606	8309	7980	12579	11096
12879	17	3	10	8	4	24	1
12889	2276	1830	1463	469	1176	238	263
12896	694	990	681	575	710	1171	695
12909	1295	2651	1126	832	922	1356	1360
12912	9001	11722	8915	5594	9923	10448	11082
12925	2480	319	310	1002	526	2322	578
12959	40	2	2	0	22	13	6
12961	0	0	0	0	0	0	0
12968	1	0	2	0	1	1	0
12970	1	2	0	1	0	0	0
12985	1	3	7	4	1	0	7
12993	0	0	0	0	0	0	0
12994	0	0	0	0	0	0	0
13008	2212	1339	908	1070	902	2996	1349
13057	3755	446	973	1072	1005	1624	1143
13072	0	0	0	0	0	0	0
13074	0	0	0	1	4	1	0
13075	15	1	0	0	0	1	1
13086	0	0	0	1	0	1	0
13087	0	0	0	0	0	0	0
13090	0	0	0	0	6	0	0
13120	102	26	8	47	124	233	23
13121	7224	11398	7340	32691	8346	9531	9295
13166	0	0	0	0	0	1	2
13167	1644	4960	2980	2438	3862	4926	4604
13198	484	1475	745	490	417	939	908
13209	18127	23333	14268	14504	22114	21160	18358
13367	3190	2786	1643	1652	2342	3505	2241
13418	1581	2405	1656	1634	2070	2391	1480
13447	2192	970	360	25	860	2022	236
13486	4302	4349	3696	2578	3784	4972	4180
13494	4395	8390	4388	3867	4538	5346	5788
13511	0	4	1	0	9	0	0
13532	0	0	0	0	0	0	0
13555	1653	2255	1414	2139	2680	2470	2544
13586	1	0	0	0	0	0	0
13589	13425	19336	14251	11416	14661	18665	19116
13615	1	0	5	0	4	19	0
13627	231339	305540	197326	168888	213273	249116	284580
13629	132211	179663	110312	88951	118151	85134	126864
13641	1556	1056	733	1284	825	2471	2182
13646	2	24	0	0	0	0	0
13656	59	104	65	6	8	20	26
13706	0	3	0	0	0	0	0
13713	3681	1063	1082	1854	1647	2642	1445
13716	936	1081	841	863	906	1019	1015
13722	2607	5183	2350	2192	2389	4116	3581
13723	3459	1039	932	1042	730	1200	125
13726	1984	2559	2067	2400	2199	3127	2869
13731	703	163	123	255	248	516	137
13732	1509	129	244	409	229	588	486
13836	235	521	113	492	1119	1272	1016
13837	2410	6012	3968	1459	962	1303	9154
13869	3784	1299	2622	758	1639	680	783
13877	2265	3123	1418	2025	2117	2750	3969
14011	4129	3118	3241	3076	3305	3220	3215
14029	0	0	0	0	0	0	0
14030	10240	15605	11277	11186	12631	13529	15433
14038	0	0	0	0	1	0	0
14066	840	64	161	331	171	311	71
14071	12	1	0	8	4	6	0
14073	45	38	3	18	28	18	2
14081	3290	2365	1383	1263	1710	5511	2371
14082	418	286	310	361	424	2511	352
14125	0	0	0	0	1	14	0
14132	4707	432	740	981	853	2530	542
14178	371	64	72	86	34	317	130
14194	3098	4875	3120	2931	3008	4994	4790
14204	1	1	1	3	0	3	3
14226	475	583	302	107	138	220	136
14262	2	0	0	0	0	0	0
14300	1780	2200	1462	1570	1465	2207	1843
14343	1	14	6	3	5	11	13
14344	13	18	9	18	31	8	33
14365	13219	22577	33466	13313	21031	13328	20991
14373	113	222	90	69	85	341	200
14395	831	152	151	12	20	10	7
14419	5	13	6	2	1	36	26
14423	6714	5227	5385	3809	4841	7712	6381
14456	15834	285	1603	3692	1842	12315	2198
14464	0	0	4	0	1	1	0
14526	6	2	0	6	0	10	0
14531	0	0	0	0	0	0	0
14534	3254	4530	3221	2853	3485	3331	4348
14548	451	577	608	408	543	473	743
14555	109	226	101	242	261	1372	89
14566	48	156	39	62	56	26	52
14569	21031	34628	14175	16498	22271	22406	17007
14582	5	0	0	7	2	0	3
14587	4	0	0	4	1	20	0
14599	6	0	1	0	0	0	2
14645	16547	9793	8629	7823	10140	15629	9912
14652	2	0	5	2	2	4	0
14670	2751	3064	2128	2183	3332	4973	3275
14677	1059	686	1130	517	919	1616	1191
14687	588	655	762	395	556	281	535
14695	34	29	19	30	24	33	20
14699	0	0	0	0	0	0	0
14711	37	8	6	2	9	11	3
14714	20	14	12	11	6	9	19
14738	1	0	0	0	0	0	0
14747	1820	528	615	903	789	1504	433
14782	4696	6029	2802	3533	3881	6221	5727
14823	3	4	2	12	9	3	2
14827	12956	12244	10387	8684	9372	14500	9717
14873	1253	201	270	540	312	504	389
14897	24663	32674	22840	29774	25068	35166	28582
14924	5215	3796	4318	4683	7059	4481	4912
14938	909	23	0	54	20	208	7
14941	624	5	409	82	2	0	0
14945	34	15	0	14	12	46	4
14962	3789	464	188	2683	1928	7419	450
14985	1	0	0	0	2	1	0
14991	1207	172	145	299	332	681	107
14998	2011	117	242	338	809	1422	144
15000	163	22	10	56	88	239	22
15024	547	177	91	156	344	487	166
15108	1130	2077	830	1295	1050	2047	1633
15112	2	2	1	1	1	1	2
15130	0	0	0	0	0	0	0
15163	3206	354	537	975	806	1474	453
15200	561	331	599	329	297	253	225
15205	818	785	789	1253	1062	1387	1850
15206	2	3	1	1	4	14	55
15212	7394	2227	3756	3805	4335	3966	1404
15223	19	34	13	31	91	29	9
15234	824	79	193	251	225	209	44
15248	703	79	92	252	190	479	200
15331	4027	8000	2708	2955	3834	11648	5722
15364	57	1	19	32	41	85	6
15368	14818	4178	2219	5299	1197	3325	2462
15373	0	0	0	13	0	0	1
15376	0	1	33	634	172	808	1
15377	1	0	4	0	5	0	4
15394	21	0	1	26	7	6	1
15397	1	0	0	1	0	2	0
15427	75	4	30	73	13	32	7
15439	852	16	119	237	932	2344	160
15446	431	51	458	231	264	148	245
15452	6110	6112	3572	3943	3288	5592	5374
15458	13	3	2	13	14	3	4
15465	39	15	22	52	19	23	29
15476	47	36	79	35	9	58	18
15512	1048	1431	1029	848	1784	1342	2351
15529	2481	4220	2413	1854	2034	5164	2921
15557	0	0	10	7	3	2	3
15893	1164	1469	1133	973	1220	539	1308
15936	935	1460	1055	1148	878	1583	3558
15953	4785	650	265	1040	2881	6660	408
15959	1457	512	164	927	1248	4738	371
16008	1995	2567	1527	2510	1436	12125	6598
16009	28177	11848	8086	12731	8390	8196	8578
16153	63	0	6	9	3	46	1
16154	3653	344	579	975	1098	1688	311
16156	14	11	21	10	10	2	20
16163	0	0	1	0	0	2	0
16168	301	64	34	90	66	153	56
16176	274	79	213	360	197	242	724
16187	0	0	0	0	0	0	0
16189	0	0	0	3	0	2	6
16191	2	5	0	1	5	3	1
16196	27	10	1	4	8	9	5
16419	8607	878	2071	2803	2631	2342	1064
16447	0	0	0	0	8	0	0
16467	2028	297	1728	1037	1587	142	112
16470	1	4	3	0	2	0	5
16492	0	1	11	1	32	0	2
16500	1433	1489	1164	1269	1826	2209	1163
16508	1594	28	392	155	425	27	51
16513	765	355	894	1121	1319	458	198
16525	1608	2313	2403	203	695	2477	1377
16541	201	14	18	106	100	241	53
16543	2187	984	1957	1125	1428	1508	812
16545	0	14	0	0	0	1	0
16576	216	767	216	315	416	279	545
16580	1021	884	596	898	1570	1158	1186
16588	720	1009	690	701	642	764	793
16597	2683	2422	3907	2248	3709	2236	2893
16600	276	110	108	236	170	1459	159
16617	0	0	0	0	0	0	0
16628	0	0	0	1	2	0	0
16631	0	0	0	0	1	0	0
16638	42	0	0	1	6	5	0
16642	3	0	0	2	12	4	0
16660	0	0	0	0	14	0	0
16663	0	0	0	0	0	0	0
16665	0	0	0	0	26	0	0
16668	0	0	0	1	0	10	0
16691	0	4	0	0	1	1	0
16701	0	0	0	0	0	0	0
16769	0	0	0	0	14	0	0
16770	4	0	2	7	3	2	9
16779	2126	2595	650	1247	1302	3801	2815
16816	9	197	96	63	253	68	109
16832	3092	4408	2235	2031	2320	3136	2895
16841	2	0	0	0	0	0	0
16846	0	3	0	0	37	414	1
16847	199	126	107	412	404	325	52
16854	6803	1041	1269	2414	953	2047	877
16869	904	3284	1799	2418	3085	380	780
16873	0	17	6	0	1	2	0
