tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7
100036520	2	2	2	2	2	2	2
100036537	2	2	2	2	2	2	2
100037258	2	2	3	2	2	2	3
100038437	2	2	2	2	2	2	2
100038489	2	2	2	2	2	2	2
100038525	2	2	2	2	2	2	2
100038545	2	2	2	2	2	2	2
100038582	2	2	2	2	2	1	2
100038657	2	2	2	2	2	2	2
100038693	2	2	2	2	2	3	2
100038699	2	2	2	2	2	1.17207593386405	2
100038968	2	2	2	2	2	2	1
100039027	2	2	2	2	2	2	2
100039150	2	2	2	2	2	2.33588621444201	2
100039206	3	2.19444444444444	2.19444444444444	2	3	3	2
100039257	2	2	2	2	2	2	3
100039315	2.14713216957606	2	2	2	2	2	3
100039324	1	2	1	2	1	2	1
100039331	1	2	1	2	2	2	2
100039377	1	2	1	2	1	2	1
100039459	2	2	2	2	2	2	2
100039550	2	2	1	2	1	2	1
100039691	1	1	1	2	1	1	1
100039830	2	2	2	2	2	2	3
100039890	1	2	1	1	1	2	1
100039904	2	1	1	1	1	2	2
100039913	2	2	1	2	1	2	2
100040016	2	2	1	2	1	2	2
100040030	2	2	2	2	2	2	2
100040225	2	1	1	2	1	2	1
100040317	2	2	1	2	1	2	2
100040471	2.92324425108763	2	2	2	3	3.2302672467371	2
100040607	2	2	2	2	2	2	2
100040635	2	2	1	2	1	3	2
100040697	2	2	3	2	2	2	3
100040882	2	2	2	2	2	2	2
100040923	2	2	3	2	2	2	3
100041014	1	1	1	1	1	2	1
100041186	2	1	2	2	2	1	1
100041296	2	2	2	1	2	2	2
100041345	1	1	1	1	1	2	1
100041426	2	2	2	2	2	2	2
100041530	2	2	3	2	2	2	3
100041548	2	3	2	3	2	2	2
100041579	1	2	1	2	2	2	2
100041639	3	2	3.24703264094955	3	5	3	4.66988130563798
100041840	2	2	3	2	2	2	3
100041874	2	2	3	2	2	2	3
100041942	2	1	2	2	2	1	1
100041958	2	2	3	2	2	2	3
100042074	2	2	2	2	2	2	2
100042109	1	2	1	2	1	2	1
100042110	1	1	1	1	1	2	1
100042201	2	1	1	1	1	2	2
100042295	2	2	2	2	2	2	2
100042417	1	1	1	1	1	2	1
100042499	2	1	2	2	2	1	1
100042548	2	2	2	2	2	2	3
100042577	5	1	2	3	2	1	1
100042578	1	1	1	1	1	2	1
100042648	2	2	2	2	2	2	2
100042703	2	1	2	2	2	1	1
100042784	2	2	2	2	2	2	2
100042802	1	3	1	2	2	1	1
100042810	3	1	2	3	2	1	1
100042849	2	2	2	2	2	2	2
100042856	2	1	2	1	2	1	1
100042894	2	1	2	2	2	1	1
100042926	2	2	2	2	2	2	2
100043034	3	2.3064032016008	2	4	2.51025512756378	2	2
100043125	2	2	2	1	2	2	2
100043216	2	2	1	2	1	2	1
100043255	2	2	2	2	2	2	2
100043381	1	2	2	2	2	2	2
100043387	1.57262185534591	2	2	2.57262185534591	2	2	2
100043416	3	2	2	2	2	2	2
100043606	3	2	2	2	2	2	3
100043842	2	1	2	2	2	1	1
100045469	2	2	2	2	2	2	2
100101807	2	2	2	2	2	2	3
100125268	3	2	2	2	3	2	2
100126226	2	2	2	2	2	2	2
100126242	3	2	2	2	3	3	2
100126765	3	2	2	2	3	2	2
100189605	2	4	3	3	3	5	3
100226	2	2	2	2	2	3	2
100302648	2	2	2	2	2	2	2
100303732	1	2	2	3	2	2	2
100312987	2	2	2	2	2	2	2
100502635	2	2	2	2	2	2	2
100502643	2	2	2	2	2	2	2
100502888	3	2	3	2	3	2	3
100502896	2	2	2	2	2	2	3
100503082	2	2	2	2	2	2	2
100503265	2	2	2	2	2	2	2
100503292	2	2	2	2	2	2	2
100503399	2	2	2	2	2	2	2
100503460	2	2	2	3	2	2	2
100503470	1	2	2	2	2	1	2
100503474	2	2	2	3	2	2	2
100503481	2	2	1	2	1	2	2
100503518	2	2	2	2	2	2	2
100503582	2	2	2	2	2	2	2
100503652	2	2	2	2	2	2	3
100503743	1	1	1	2	1	1	1
100504018	3	2	2	2	2	2	3
