"","M","S","D","I"
"B_H3K4me3_ND391",481672,1171,57,46
"B_H3K4me3_ND422",478360,1560,80,34
"B_H3K4me3_ND425",448830,1365,55,46
"B_H3K4me3_SLE1077",461837,2197,66,76
"B_H3K4me3_SLE2239",469380,2121,49,34
"B_H3K4me3_SLE985",467454,2068,78,37
"M_H3K4me3_ND391",457948,1990,62,47
"M_H3K4me3_ND422",462382,1944,74,40
"M_H3K4me3_ND425",464439,1611,50,42
"M_H3K4me3_SLE1077",456437,2893,70,63
"M_H3K4me3_SLE2239",473827,2185,88,55
"M_H3K4me3_SLE985",469691,2767,92,39
"T_H3K4me3_ND391",461496,1427,77,57
"T_H3K4me3_ND422",448978,1919,53,51
"T_H3K4me3_ND425",449367,1818,65,45
"T_H3K4me3_SLE1077",491072,2258,70,36
"T_H3K4me3_SLE2239",455049,1592,59,40
"T_H3K4me3_SLE985",475521,1999,80,37
