"","N_Before","N_After","Percent","Sigma","Outlier"
"B_H3K4me3_ND391",9658,9658,97.24,0.56,"No"
"B_H3K4me3_ND422",9600,9600,96.97,1.72,"No"
"B_H3K4me3_ND425",9005,9005,97.33,0.58,"No"
"B_H3K4me3_SLE1077",9282,9282,97.32,0.41,"No"
"B_H3K4me3_SLE2239",9431,9431,98.08,-2.92,"No"
"B_H3K4me3_SLE985",9392,9392,97.43,-0.06,"No"
"M_H3K4me3_ND391",9200,9200,97.64,-0.68,"No"
"M_H3K4me3_ND422",9288,9288,97.43,0.03,"No"
"M_H3K4me3_ND425",9322,9322,97.46,-0.1,"No"
"M_H3K4me3_SLE1077",9188,9188,97.63,-0.62,"No"
"M_H3K4me3_SLE2239",9522,9522,97.56,-0.62,"No"
"M_H3K4me3_SLE985",9451,9451,97.68,-1.01,"No"
"T_H3K4me3_ND391",9260,9260,97.7,-0.92,"No"
"T_H3K4me3_ND422",9019,9019,96.91,2.54,"No"
"T_H3K4me3_ND425",9025,9025,97.26,0.84,"No"
"T_H3K4me3_SLE1077",9868,9868,97.12,1.19,"No"
"T_H3K4me3_SLE2239",9134,9134,97.67,-0.74,"No"
"T_H3K4me3_SLE985",9552,9552,97.25,0.54,"No"
