"","B_Control_A","M_Control_A","T_Control_A","B_Control_B","M_Control_B","T_Control_B","B_Control_C","M_Control_C","T_Control_C","B_Patient_D","M_Patient_D","T_Patient_D","B_Patient_E","M_Patient_E","T_Patient_E","B_Patient_F","M_Patient_F","T_Patient_F"
"A1BG",2,2,2,3,7,0,4,0,20,2,2,0,2,2,3,5,1,1
"A1BG-AS1",20,7,19,5,8,10,5,9,23,17,8,4,12,4,19,4,4,6
"A1CF",2,0,1,0,0,1,0,0,0,3,0,0,1,0,1,0,0,1
"A2M",6,4,113,20,10,46,27,9,58,4,5,17,1,9,12,2,4,31
"A2M-AS1",13,12,178,30,5,59,46,19,115,4,8,23,2,4,11,8,4,41
"A2ML1",1,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0
"A2MP1",2,3,13,1,0,5,0,1,1,0,0,1,0,0,0,0,0,4
"A3GALT2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A4GALT",0,8,0,0,0,0,0,0,0,0,1,0,12,13,0,0,3,0
"A4GNT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",64,84,24,81,151,23,88,94,11,25,39,27,36,57,39,28,44,48
"AACS",21,22,32,22,22,33,29,28,12,8,5,12,15,10,17,6,10,6
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"AADAC",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AADACL3",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"AADAT",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
"AAED1",135,155,25,94,127,19,117,153,13,99,120,41,65,136,42,113,131,41
"AAGAB",96,117,50,71,52,21,122,118,47,131,89,70,143,105,86,119,66,42
"AAK1",545,1476,2599,1066,671,2373,1652,1308,2241,182,641,728,133,928,2867,121,580,901
"AAMDC",6,9,2,10,16,4,5,19,6,0,2,0,1,2,1,1,7,1
"AAMP",47,49,53,49,50,45,68,54,26,30,19,20,33,31,79,20,22,21
"AANAT",2,1,0,3,0,1,4,1,2,6,1,1,16,2,1,2,5,2
"AAR2",16,31,27,23,59,18,22,66,19,46,66,51,65,78,80,48,92,60
"AARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARS",59,26,47,71,62,42,41,59,31,32,14,26,78,84,105,46,20,27
"AARS2",36,13,50,32,14,41,52,41,59,46,8,31,70,18,116,67,10,38
"AARSD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AASDH",42,29,40,43,36,34,112,47,17,61,31,41,82,41,104,61,16,40
"AASDHPPT",39,20,36,33,43,20,61,47,12,63,31,55,112,65,144,75,31,68
"AASS",98,7,59,32,10,68,53,19,35,35,3,12,47,5,41,43,3,15
"AATF",261,271,145,263,371,132,220,431,135,266,201,158,287,203,278,240,203,148
"AATK",3,33,1,4,13,2,1,31,0,8,46,4,1,55,0,1,54,7
"AATK-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABAT",57,62,53,53,70,31,53,153,20,18,16,23,20,10,37,17,29,25
"ABCA1",3381,10936,466,1597,3631,508,919,3843,246,1564,6349,1458,968,8475,336,1592,7066,905
"ABCA10",5,2,11,1,0,1,2,0,4,5,1,5,7,1,3,1,0,4
"ABCA11P",24,3,17,9,4,4,24,6,7,24,4,16,47,10,36,24,9,12
"ABCA12",1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0
"ABCA13",64,6,4,162,4,8,14,7,1,7,4,31,3,7,0,3,15,29
"ABCA17P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ABCA2",47,36,102,87,29,114,91,37,154,18,15,35,12,12,42,31,20,68
"ABCA3",15,4,21,5,8,7,45,6,19,5,1,4,2,0,8,5,1,4
"ABCA4",0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA5",94,24,218,54,11,145,80,33,69,119,28,99,204,39,201,97,21,78
