ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
11287	31	41	46	39	44	2	4	7	13	5	6	20	43	9	11	0	11	3	29
11298	5	1	2	3	9	1	2	3	0	0	1	0	0	0	0	0	4	1	0
11302	6	3	4	2	18	14	18	6	12	27	24	11	4	10	21	12	19	6	6
11303	14	11	24	16	10	10	4	9	2	12	698	28	4	73	106	24	115	16	31
11304	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
11305	12	2	10	6	2	3	2	5	7	6	49	1	4	28	15	0	27	0	16
11306	2	2	11	4	2	5	4	7	2	23	132	11	22	85	36	13	67	8	49
11307	2	6	3	8	3	2	0	4	2	7	124	9	1	6	14	14	21	4	18
11308	21	15	28	27	20	36	34	33	36	41	199	75	182	188	116	77	140	93	105
11350	8	20	17	19	25	11	20	26	17	41	154	21	41	94	60	49	66	18	111
11352	15	23	6	10	19	12	32	29	9	22	103	16	24	129	38	42	86	43	85
11354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11363	0	1	0	0	0	1	1	1	2	0	39	4	2	34	15	1	18	6	19
11364	4	1	0	1	4	2	1	0	1	0	15	3	13	24	17	2	21	5	17
11370	79	68	113	84	96	59	69	63	51	49	84	90	94	105	73	54	69	57	74
11409	1	3	2	7	1	5	4	4	4	4	10	4	2	27	11	6	18	6	10
11416	34	27	36	24	47	6	7	17	21	17	23	12	18	36	13	6	21	12	14
11418	0	1	0	0	0	2	5	0	7	12	0	3	130	9	0	29	152	0	15
11419	88	114	115	64	65	71	111	152	85	160	110	144	35	128	80	63	148	123	70
11421	2	3	10	14	9	2	0	3	0	0	42	0	0	2	2	6	4	3	1
11423	14	21	28	15	20	23	45	12	14	14	12	4	6	5	6	1	6	5	5
11425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11426	8	32	46	16	64	23	22	26	22	41	1105	90	124	461	367	146	596	102	391
11428	8	4	20	17	12	22	14	32	9	49	54	15	18	86	17	7	58	12	81
11429	100	61	97	120	122	72	64	76	73	96	242	145	114	256	175	88	224	121	195
11430	22	40	46	49	33	44	38	35	45	55	113	47	40	100	52	31	84	51	62
11431	6	11	14	27	20	6	3	2	2	1	27	9	0	11	28	18	36	5	62
11432	253	293	310	351	279	133	143	95	97	139	223	178	121	197	119	122	122	106	112
11433	2	2	0	0	0	0	0	2	0	0	36	0	0	13	4	4	15	2	8
11434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
11435	3	0	0	1	2	0	3	7	3	0	3	9	5	8	4	0	1	5	5
11438	2	2	1	0	1	0	6	1	0	0	5	0	0	0	0	1	2	0	3
11440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11441	0	1	2	0	0	2	0	2	0	2	11	0	2	1	6	0	2	0	0
11443	29	22	33	39	41	2	40	71	8	54	18	18	14	39	16	3	12	25	13
11444	12	5	16	9	7	16	13	63	8	13	50	30	35	26	42	8	50	11	12
11447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11448	0	0	3	1	0	0	0	4	0	0	0	0	2	1	2	0	0	0	0
11449	1	9	0	2	0	0	0	0	0	0	2	0	0	5	1	1	2	3	1
11450	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0
11451	2	4	0	7	0	2	2	4	1	0	0	5	0	5	0	1	2	1	3
11459	0	0	2	2	0	0	0	0	0	0	4	1	0	12	0	0	0	74	22
11461	137	165	160	114	95	240	260	182	285	400	4345	281	609	2470	1160	381	1748	337	2255
11464	0	0	0	0	0	0	2	1	0	2	0	0	2	36	2	0	0	6	41
11465	14	8	19	6	4	2	6	4	13	20	183	8	25	155	61	29	95	22	131
11468	0	1	0	0	0	0	0	1	0	0	24	0	0	2	5	0	4	0	0
11470	22	25	37	36	38	15	26	20	5	1	8	27	23	44	11	26	19	15	12
