ID	T1_1	T1_2	T1_3	T1_4	T1_5	T2_1	T2_2	T2_3	T2_4	T2_5	T2_6	T2_7	T2_8	T2_9	T2_10	T2_11	T2_12	T2_13	T2_14
11287	0	0	0	2	1	0	0	0	0	0	0	1	0	2	1	0	1	0	0
11298	2	1	0	5	4	1	2	3	2	0	2	4	0	2	1	0	0	1	3
11302	638	635	1006	551	913	6368	4496	2739	3032	2515	2594	1854	622	2108	1725	1336	2605	1628	591
11303	15449	18083	11897	15559	12473	4476	14151	14524	6313	9367	36913	14117	3207	6463	11445	8268	9743	14450	3419
11304	56	25	7	27	49	26	79	219	103	52	129	90	45	116	32	110	31	831	38
11305	3948	4004	4367	4484	4222	4469	4086	3141	3852	3688	3265	3243	2233	2992	3141	2686	3521	1739	1890
11306	2486	3847	4163	3677	2132	4173	3859	6799	4644	7515	4841	6230	8543	5433	4463	3873	4266	6624	4417
11307	2099	2855	1357	2355	1577	1831	3438	2936	2274	2098	7880	2240	620	1089	1668	2624	2206	2727	942
11308	2964	4070	4443	4440	3114	4458	3838	4547	4911	6759	6935	4939	6256	5427	4642	4243	4520	5337	4694
11350	6151	8760	9154	9163	9200	6039	8591	6474	8010	6992	7313	7996	11456	9238	5642	7119	7525	8585	9062
11352	6365	9164	8388	8397	6645	10261	9354	10356	9161	8156	6975	6995	9161	9987	5800	4677	6208	10994	6885
11354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11363	921	1433	1097	1332	759	593	720	830	983	768	892	1283	1430	2385	458	493	927	2904	1591
11364	1716	2981	3332	3176	2016	1532	1603	1919	1496	2334	1470	2205	2757	1990	963	786	1152	2291	1485
11370	3320	5071	5952	5234	3505	3700	2596	2967	2390	4775	2209	3184	1441	3058	1894	1436	1879	2036	1794
11409	1466	2192	2482	2237	1669	2005	1655	1645	1677	1571	1305	1812	1468	2257	1147	724	1085	992	1549
11416	3916	3832	5310	3442	3625	1675	1540	2785	1521	2090	1595	2014	2429	1756	1313	981	1314	2341	1368
11418	7	8	10	53	46	9	25	144	32	70	0	9	230	16	6	100	405	1	49
11419	182	407	622	331	251	5089	3430	2803	1854	2816	2224	4736	1557	5183	5780	1107	2421	2199	3330
11421	3356	5821	4219	6231	7890	700	1601	317	732	184	2167	1329	82	211	203	831	431	2237	341
11423	36	9	26	20	17	195	594	163	31	97	340	180	15	56	137	30	48	76	77
11425	2	3	1	3	0	3	10	2	1	6	4	3	0	1	2	2	2	0	0
11426	31709	47122	42454	41666	36688	30994	42680	33356	33114	34553	40061	31275	26357	28723	28818	24618	29919	43937	24180
11428	3605	5743	6323	5809	4347	5589	6524	7418	9247	10041	3979	8249	8025	6938	4556	4271	5542	6942	6946
11429	7256	13025	13586	12249	9206	14774	10151	9825	12035	16403	9532	15217	12852	14472	8018	4556	8980	13078	11585
11430	4403	5926	5603	5754	4056	3273	3703	5221	3314	5900	4077	5561	4659	5553	3651	3307	3933	4920	3516
11431	1679	2892	3047	5306	1784	1231	1811	2566	2877	1336	943	1831	1091	1141	2040	1984	1816	1058	2887
11432	2528	3044	3023	3144	2347	1629	2740	2291	2611	2349	4628	3428	2377	2706	2017	2314	2567	3273	1973
11433	958	1106	203	137	219	263	536	313	852	486	1923	633	401	772	508	1341	601	736	415
11434	2	2	3	1	1	39	14	13	0	10	5	1	0	4	28	0	5	8	3
11435	1	4	3	4	6	71	95	15	0	7	3	91	1	133	1	0	1	591	281
11438	4	9	8	7	10	43	202	432	9	65	31	84	23	70	42	71	164	364	444
11440	0	5	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11441	677	160	427	481	92	187	220	245	259	189	316	92	338	69	302	115	66	44	76
11443	71	108	60	77	44	120	431	206	126	92	117	188	65	843	41	51	76	795	445
11444	58	149	187	178	63	4331	2742	9953	3373	4889	2532	2585	4853	2674	3758	1891	2355	504	1220
11447	0	1	0	2	0	17	13	5	0	5	0	6	0	21	0	0	0	115	30
11448	0	0	0	1	1	15	1	9	11	0	1	7	14	13	13	1	5	6	1
11449	0	0	0	0	0	17	23	1	0	2	0	5	0	10	0	0	0	272	60
11450	1	1	0	0	0	61	75	48	43	63	11	533	34	20	77	5	69	862	19
11451	0	0	0	0	1	0	0	0	0	0	0	6	0	2	0	0	0	1	2
11459	12	109	4	16	4	4078	1255	175	12	197	19	445	10	853	8	9	5	46481	3265
11461	119247	168969	143171	135558	107538	319786	317037	233745	296822	328934	322940	210614	278377	295820	159383	176593	178678	224323	260555
11464	0	7	0	1	0	238	1217	299	69	440	18	558	1237	4210	114	104	83	5812	5117
11465	10203	14467	14304	9825	9882	9287	9872	14475	24476	17049	13180	16543	18223	16695	11465	14525	10733	13131	19758
11468	210	43	17	5	33	27	83	99	224	72	2206	211	281	159	545	603	202	449	83
11470	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11471	2	1	11	4	5	2	2	5	1	2	0	4	2	2	2	10	9	2	10
11472	2	31	8	0	6	534	475	65	34	104	14	30	51	183	9	38	16	1800	222
11474	26	52	12	24	17	207	127	82	37	22	10	85	20	19	25	19	11	12734	221
11475	4960	2180	343	219	498	2050	2028	4462	4503	2245	20015	2690	5252	1514	3976	5477	2387	3980	1691
11477	605	843	679	695	678	870	2062	782	1406	850	1302	772	1139	959	1058	960	1012	1024	876
11479	1385	1669	1583	1589	1211	2385	2837	2078	1609	2577	1884	1631	1648	1731	1280	982	1236	1272	961
11480	1530	2005	1930	2318	1405	3885	3283	2912	2834	3962	4489	3493	5900	3248	3081	2476	2543	3737	3476
11481	1228	1037	1419	1026	1206	859	862	941	950	784	425	727	6435	629	532	687	628	557	747
11482	740	429	164	191	236	334	1187	689	800	629	2264	757	146	508	487	771	601	768	324
11484	4	5	6	6	5	2	8	4	9	0	17	8	1	5	4	6	1	81	0
11486	437	487	381	460	377	425	451	476	824	493	902	463	771	905	528	520	531	873	299
11487	4755	7089	5291	6621	4404	4639	7822	6469	6100	5881	8297	6567	7587	5974	5376	5147	6788	6257	5323
11488	252	252	564	450	1836	341	448	419	232	197	277	377	109	270	891	213	292	277	291
11489	1515	1404	304	234	328	1315	2335	1777	1983	1160	4668	3360	429	857	614	2899	1676	3837	3566
11490	1107	1147	721	760	871	1142	1547	990	1418	631	3742	2287	1574	1415	1027	1482	1070	2715	730
11491	5113	6393	6686	5592	3635	5965	5153	4910	5058	5736	6916	6325	5102	5511	3235	3735	3863	6768	4569
11492	1642	870	268	300	313	1624	2023	1570	1937	1236	3485	2139	1395	1115	1619	1992	1884	3164	1384
11495	0	0	0	0	2	1	3	0	3	0	0	1	0	2	0	4	2	1	0
11496	3725	4206	4836	5705	4340	5162	5224	5175	5096	3619	5014	3658	3714	2203	4305	21765	5013	2578	1798
11497	2	0	0	2	0	0	0	2	1	1	4	1	0	2	2	1	4	3	0
11498	125	107	109	65	136	85	206	92	72	35	143	177	92	91	54	80	141	161	131
11499	56	28	28	41	23	1	7	16	6	6	12	20	19	10	11	17	5	50	49
11500	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
11501	3705	3272	797	483	747	123	664	482	873	381	3295	659	184	514	971	1158	268	291	487
11502	6719	7385	8326	6253	3640	2950	4009	4536	5163	5120	7304	4966	3925	3588	3925	3385	3136	5678	3913
11504	2357	1951	3290	3173	2574	5835	11448	18469	9216	8852	4167	18052	8374	9035	9599	6129	5717	8275	10399
11512	5789	8282	8975	8080	7569	2588	4215	3099	3460	3755	1857	3171	2435	2051	2095	2049	2258	1445	1955
11513	2255	2324	1480	1217	1200	1951	3635	4163	3666	1049	6377	3049	487	1250	2020	1710	2208	5563	1157
11514	28	44	102	230	153	14	374	41	22	62	39	35	42	43	76	3	57	65	15
11515	706	806	720	985	1044	1062	1158	938	526	834	1047	934	372	486	779	513	540	838	375
11516	1	12	2	5	0	4647	2811	1943	365	3968	225	1189	19779	3566	1787	3098	478	96	842
11517	5293	6441	15607	17662	20933	4591	13464	7261	9176	11190	1801	3867	9237	4438	5401	2593	3164	2745	1346
11518	7132	11581	11440	11089	9101	9031	11946	10101	9740	14829	10883	9333	8231	9489	7558	4397	9600	14297	9566
11519	697	491	1794	360	333	9272	5461	11284	9753	9443	5354	7348	6811	2610	3957	5446	7258	1647	2504
11520	5988	4701	2532	2490	2348	1918	2924	3846	4321	4284	11231	4109	3441	4203	4332	4175	2563	5436	3167
