ID	Group	Type	Drug
T1_1	T1_Untreated	T1	Untreated
T1_2	T1_Untreated	T1	Untreated
T1_3	T1_Untreated	T1	Untreated
T1_4	T1_Untreated	T1	Untreated
T1_5	T1_Untreated	T1	Untreated
T2_1	T2_Untreated	T2	Untreated
T2_2	T2_Untreated	T2	Untreated
T2_3	T2_Untreated	T2	Untreated
T2_4	T2_Untreated	T2	Untreated
T2_5	T2_Untreated	T2	Untreated
T2_6	T2_Treated	T2	Treated
T2_7	T2_Treated	T2	Treated
T2_8	T2_Treated	T2	Treated
T2_9	T2_Treated	T2	Treated
T2_10	T2_Treated	T2	Treated
T2_11	T2_Treated	T2	Treated
T2_12	T2_Treated	T2	Treated
T2_13	T2_Treated	T2	Treated
T2_14	T2_Treated	T2	Treated
