"","Group","Replicate","Hour"
"WT_00Hr_1","WT_00Hr","Rep1",0
"WT_00Hr_2","WT_00Hr","Rep2",0
"WT_00Hr_3","WT_00Hr","Rep3",0
"WT_02Hr_1","WT_02Hr","Rep1",2
"WT_02Hr_2","WT_02Hr","Rep2",2
"WT_02Hr_3","WT_02Hr","Rep3",2
"WT_04Hr_1","WT_04Hr","Rep1",4
"WT_04Hr_2","WT_04Hr","Rep2",4
"WT_04Hr_3","WT_04Hr","Rep3",4
"WT_06Hr_1","WT_06Hr","Rep1",6
"WT_06Hr_2","WT_06Hr","Rep2",6
"WT_06Hr_3","WT_06Hr","Rep3",6
"WT_08Hr_1","WT_08Hr","Rep1",8
"WT_08Hr_2","WT_08Hr","Rep2",8
"WT_08Hr_3","WT_08Hr","Rep3",8
"WT_10Hr_1","WT_10Hr","Rep1",10
"WT_10Hr_2","WT_10Hr","Rep2",10
"WT_10Hr_3","WT_10Hr","Rep3",10
"WT_12Hr_1","WT_12Hr","Rep1",12
"WT_12Hr_2","WT_12Hr","Rep2",12
"WT_12Hr_3","WT_12Hr","Rep3",12
"WT_14Hr_1","WT_14Hr","Rep1",14
"WT_14Hr_2","WT_14Hr","Rep2",14
"WT_14Hr_3","WT_14Hr","Rep3",14
"WT_16Hr_1","WT_16Hr","Rep1",16
"WT_16Hr_2","WT_16Hr","Rep2",16
"WT_16Hr_3","WT_16Hr","Rep3",16
"WT_18Hr_1","WT_18Hr","Rep1",18
"WT_18Hr_2","WT_18Hr","Rep2",18
"WT_18Hr_3","WT_18Hr","Rep3",18
"WT_20Hr_1","WT_20Hr","Rep1",20
"WT_20Hr_2","WT_20Hr","Rep2",20
"WT_20Hr_3","WT_20Hr","Rep3",20
"WT_22Hr_1","WT_22Hr","Rep1",22
"WT_22Hr_2","WT_22Hr","Rep2",22
"WT_22Hr_3","WT_22Hr","Rep3",22
