"","symbol","chromosome","length","num_transcript"
"1","A1BG","chr19",1766,1
"2","A2M","chr12",4811.5,2
"3","A2MP1","chr12",1201,1
"9","NAT1","chr8",2012.6,10
"10","NAT2","chr8",1317,1
"12","SERPINA3","chr14",1590,1
"13","AADAC","chr3",1596.66666666667,3
"14","AAMP","chr2",1786,2
"15","AANAT","chr17",1469.5,2
"16","AARS","chr16",3067,2
"18","ABAT","chr16",5018.25,4
"19","ABCA1","chr9",8701.42857142857,7
"20","ABCA2","chr9",8129.33333333333,3
"21","ABCA3","chr16",6623,1
"22","ABCB7","chrX",2462.6,5
"23","ABCF1","chr6",3407,2
"24","ABCA4","chr1",7326,1
"25","ABL1","chr9",5634.5,2
"26","AOC1","chr7",2751.5,4
"27","ABL2","chr1",10811.3333333333,9
"28","ABO","chr9",1579,1
"29","ABR","chr17",5175.08333333333,12
"30","ACAA1","chr3",1695.6,5
"31","ACACA","chr17",9641.55555555555,9
"32","ACACB","chr12",8501.77777777778,9
"33","ACADL","chr2",2751,2
"34","ACADM","chr1",2573.6,5
"35","ACADS","chr12",1917,1
"36","ACADSB","chr10",5941,1
"37","ACADVL","chr17",2370.4,5
"38","ACAT1","chr11",1737.66666666667,3
"39","ACAT2","chr6",1604,2
"41","ASIC1","chr12",3808.8,5
"43","ACHE","chr7",2308.42857142857,7
"47","ACLY","chr17",4359.6,5
"48","ACO1","chr9",3541.25,4
"49","ACR","chr22",1370,1
"50","ACO2","chr22",2741,1
"51","ACOX1","chr17",7643,3
"52","ACP1","chr2",1403.8,5
"53","ACP2","chr11",1334.6,5
"54","ACP5","chr19",1598,6
"55","ACPP","chr3",2523,2
"56","ACRV1","chr11",1067.8,5
"58","ACTA1","chr1",1493,1
"59","ACTA2","chr10",1578.5,2
"60","ACTB","chr7",1814,2
"70","ACTC1","chr15",3693,1
"71","ACTG1","chr17",1767.2,5
"72","ACTG2","chr2",1266.5,2
"81","ACTN4","chr19",3950.25,4
"86","ACTL6A","chr3",1826,3
"87","ACTN1","chr14",3742,3
"88","ACTN2","chr1",4982.66666666667,3
"89","ACTN3","chr11",2938,1
"90","ACVR1","chr2",2886.8,5
"91","ACVR1B","chr12",4605.25,4
"92","ACVR2A","chr2",4325.75,4
"93","ACVR2B","chr3",11393.5,2
"94","ACVRL1","chr12",4218,3
