"","symbol","chromosome","length","num_transcript","N_Comp","Pval_Max","Pval_Meta","Abs_LogFC_Min","Abs_LogFC_Avg","B_Cell_Log2FC","T_Cell_Pval","Monocyte_Log2FC","B_Cell_Pval","T_Cell_Log2FC","Monocyte_Pval"
"54206","ERRFI1","chr1","3069","3",3,0.618257828019817,6.46655323439422e-31,0.258711624491186,1.73688350042865,-3.03441574395567,4.19142012526719e-12,-1.91752313283909,4.18877984402296e-05,0.258711624491186,0.618257828019817
"284454","LOC284454","chr19","1774","1",3,0.521007181804001,4.73445787160435e-36,0.222707966979037,1.91359268429217,-1.73137573611542,4.59082310968865e-05,-3.78669434978204,2.04420053795478e-14,0.222707966979037,0.521007181804001
"149478","BTBD19","chr1","2132.8","5",3,0.878600877353997,1.76886857777938e-33,0.0577817800064988,1.86108555642185,-2.66439091726523,1.31900982326803e-08,-2.86108397199381,6.28809865532668e-10,-0.0577817800064988,0.878600877353997
"101929215","CTD-2201I18.1","chr5","2716","1",3,0.194138155343501,2.51308146596204e-27,1.29417623126759,3.07726315152676,-4.21216332318674,8.60446129100914e-05,-3.72544990012596,2.90936161625187e-10,-1.29417623126759,0.194138155343501
"7355","SLC35A2","chrX","2139.125","8",3,0.470461580496242,2.62739867764234e-29,0.293505331586036,1.73346883251678,-1.62543379839329,1.64555951320366e-05,-3.28146736757101,7.68252378839705e-11,-0.293505331586036,0.470461580496242
"80726","KIAA1683","chr19","3981.2","5",3,0.70618605750186,2.35025551983344e-47,0.148068950089746,2.16320387959574,-0.148068950089746,0.70618605750186,-4.72868097278549,3.47916752817621e-21,-1.61286171591199,0.00151323602127168
"140691","TRIM69","chr15","1675.16666666667","6",3,0.0946089658176007,1.67649059086359e-52,0.829864770856043,2.75885483567934,-2.62229124336188,4.06869745735534e-06,-4.82440849282009,4.66991075749052e-20,-0.829864770856043,0.0946089658176007
"221584","ZSCAN12P1","chr6","4055","1",3,0.35560942850947,4.84666186182685e-47,0.49040923687139,2.27167963019922,-1.77003147497665,0.000508899041746572,-4.55459817874961,2.84693463040654e-20,-0.49040923687139,0.35560942850947
"163479","FNDC7","chr1","2519.5","2",3,0.00962850566964761,1.03021761549136e-39,2.97019962537165,3.80042550075136,-3.02151617106434,0.00173140291219499,-5.40956070581809,6.35204666852186e-16,-2.97019962537165,0.00962850566964761
"101927853","LOC101927853","chr11","2649","3",3,0.0493540352701161,4.82160559367964e-34,2.43082626622042,4.46016866251825,-2.43082626622042,0.0148812172590722,-8.46037609189349,5.48016486429497e-15,-2.48930362944083,0.0493540352701161
"6526","SLC5A3","chr21","11576","1",3,0.0155484941761307,8.92341624097613e-33,1.02988799377016,1.71775788687881,-1.51587498516952,8.80261329099715e-05,-2.60751068169675,1.11561308370771e-11,-1.02988799377016,0.0155484941761307
"102724217",NA,NA,NA,NA,3,0.00481104820256496,5.66058546249727e-32,1.2189683622705,2.13676392032546,-1.32607362768509,0.00481104820256496,-3.86524977102079,4.08713699787756e-12,-1.2189683622705,0.00180831776704021
"151","ADRA2B","chr2","3275","1",3,0.00682287281193883,2.4039929495058e-28,1.48681272113944,3.01729676083119,-2.56338406446791,0.00063201020829177,-5.00169349688622,3.81993569734321e-10,-1.48681272113944,0.00682287281193883
"283624","LINC00641","chr14","3785","2",3,0.0104938165842248,1.531897222119e-26,0.95859981398682,1.3884417309931,-0.96424241560168,0.00244488673475106,-2.24248296339079,4.36486425651374e-10,-0.95859981398682,0.0104938165842248
"3306","HSPA2","chr14","2770","1",3,8.05294536985907e-12,6.3968148794762e-98,3.98234470911084,4.50865521595166,-3.98234470911084,2.56296839394168e-17,-5.45892379842368,5.22350987232548e-19,-4.08469714032046,8.05294536985907e-12
"9603","NFE2L3","chr7","3711","1",3,5.48984730509277e-07,5.0313824080367e-83,2.07135985258387,2.94710230581522,-2.07135985258387,5.48984730509277e-07,-4.30345350562561,6.85360130610437e-24,-2.46649355923619,1.14713907231795e-10
"101928025",NA,NA,NA,NA,3,1.505981225101e-06,1.74209520758222e-71,3.56213423879991,4.47231217297622,-3.56213423879991,1.505981225101e-06,-5.70632524116941,6.564443210484e-22,-4.14847703895935,5.90809799189266e-08
"100506358","LOC100506358","chr14","925","1",3,8.44219704540546e-06,5.15372758196673e-103,3.17400365185354,6.17775561023479,-6.91251838165985,1.38774425690683e-08,-8.44674479719098,5.13430988343986e-36,-3.17400365185354,8.44219704540546e-06
"10984","KCNQ1OT1","chr11","91671","1",3,0.000403502147991672,4.04562391868863e-85,1.80011777458932,2.85660467928522,-2.43735694256345,3.34833751695653e-12,-4.33233932070288,3.75531822981026e-26,-1.80011777458932,0.000403502147991672
"286006","LSMEM1","chr7","1699.5","4",3,0.00112064516451508,2.95702896191339e-64,1.46851383469825,2.87332861059459,-1.98045560704881,5.57870003487393e-06,-5.17101639003669,1.56712852454088e-23,-1.46851383469825,0.00112064516451508
"3312","HSPA8","chr11","2217.33333333333","3",3,0.000115656690506396,2.45210607524495e-82,1.43529937087874,2.58689231652302,-3.45537366014062,2.26400408388609e-24,-1.43529937087874,0.000115656690506396,-2.8700039185497,3.3301822194863e-12
"3303","HSPA1A","chr6","2429","1",3,1.25467641436653e-10,7.57779587643851e-144,4.90756168846928,6.12360932346678,-7.86581707099442,7.96706626141284e-43,-4.90756168846928,1.25467641436653e-10,-5.59744921093663,5.92338491849684e-15
"3304","HSPA1B","chr6","2520","1",3,9.08252499187167e-10,5.51892288601655e-129,5.25325626420733,6.21571604824919,-7.20448916828511,1.09785340096005e-39,-5.25325626420733,2.07978231462857e-12,-6.18940271225513,9.08252499187167e-10
"3301","DNAJA1","chr9","1538","1",3,0.000150982667045366,4.40590385291434e-62,1.41607120839344,2.31911569058033,-2.90078859893739,1.69675750010802e-17,-1.41607120839344,0.000150982667045366,-2.64048726441015,3.57767100280122e-10
"51307","FAM53C","chr5","4406.5","2",3,0.000520106137837919,1.77330638644244e-51,1.37428270748587,2.04057728095991,-2.73566757049054,4.65398435335124e-16,-1.37428270748587,0.000520106137837919,-2.0117815649033,2.14321664459535e-07
