"","symbol","chromosome","length","num_transcript","b_cell, Mean_Control","b_cell, Mean_SLE","b_cell, LogFC","b_cell, Pvalue","b_cell, FDR","t_cell, Mean_Control","t_cell, Mean_SLE","t_cell, LogFC","t_cell, Pvalue","t_cell, FDR"
"1","A1BG","chr19","1766","1",3,3,0.368352305189554,0.860898067827768,1,7.33333333333333,1.33333333333333,-2.79480322695231,0.0600428352219755,0.331510524622969
"2","A2M","chr12","4811.5","2",17.3333333333333,2.33333333333333,-2.46160142189103,0.00619109707728829,0.0505896106680664,71.3333333333333,20,-1.81239341229402,0.001976290862132,0.039031369194771
"3","A2MP1","chr12","1201","1",1,0,-3.02163049124622,0.307699941349982,0.734144795266948,6.33333333333333,1.66666666666667,-1.74670804280289,0.142295548367068,0.538302519130401
"9","NAT1","chr8","2012.6","10",27,20.6666666666667,0.00255121014840656,1,1,11.3333333333333,27,1.02583936680806,0.106752075253858,0.458026234385652
"10","NAT2","chr8","1317","1",0.333333333333333,0,-1.74772406366208,1,1,0.333333333333333,0.666666666666667,0.737463756060815,1,1
"12","SERPINA3","chr14","1590","1",0.333333333333333,0,-1.74773152194318,1,1,0.333333333333333,0.333333333333333,-0.100120895438284,1,1
"13","AADAC","chr3","1596.66666666667","3",0,0.333333333333333,2.03435237199768,1,1,0.333333333333333,0.333333333333333,-0.100120462738678,1,1
"14","AAMP","chr2","1786","2",54.6666666666667,27.6666666666667,-0.625419287455086,0.166264530883078,0.501920892815021,41,40,-0.282551450594866,0.601623042118942,1
"15","AANAT","chr17","1469.5","2",2.66666666666667,7.33333333333333,1.71408782297878,0.0640985177767857,0.269162884464337,1,1.33333333333333,0.231311063540627,1,1
"16","AARS","chr16","3067","2",56.6666666666667,51.6666666666667,0.186170357486875,0.703412159177874,1,40,52.6666666666667,0.121694474310036,0.847337490908817,1
"18","ABAT","chr16","5018.25","4",54.3333333333333,18.3333333333333,-1.20106220494285,0.00745402464795416,0.0583288707488868,34.6666666666667,28.3333333333333,-0.38214905588299,0.476465251141839,1
"19","ABCA1","chr9","8701.42857142857","7",1949.66666666667,1363.33333333333,-0.107723212047008,0.81151698373838,1,405,893.666666666667,1.20709951056678,0.0316025281338539,0.225116019201423
"20","ABCA2","chr9","8129.33333333333","3",75,20.3333333333333,-1.48174423094924,0.00532788163197824,0.0453259515252291,123.333333333333,48.3333333333333,-1.47339589241931,0.00295620906125715,0.0502094990456488
"21","ABCA3","chr16","6623","1",21.6666666666667,4,-1.98237294802144,0.022363426103586,0.128839357730383,15.6666666666667,5.33333333333333,-1.7011406227996,0.0233958450098026,0.187166760078421
"22","ABCB7","chrX","2462.6","5",106.666666666667,94.6666666666667,0.183743206737581,0.608364316707666,1,48.6666666666667,70,0.393337315566162,0.385968481322395,0.918713153046413
"23","ABCF1","chr6","3407","2",601.333333333333,498.666666666667,0.0961513895893202,0.774806231751334,1,443,391,-0.345006844900845,0.338324242932452,0.855477170835862
"24","ABCA4","chr1","7326","1",0.333333333333333,0,-1.77028677744319,0.999999999999996,1,0.333333333333333,0,-1.89591486298934,1,1
