id	chromosome	start	end	transcript	gene
exon_1161	chr1	9437054	9437187	rna110	102632723
exon_1162	chr1	9437430	9437538	rna110	102632723
exon_1163	chr1	9437644	9437723	rna110	102632723
exon_1164	chr1	9437811	9438070	rna110	102632723
exon_1165	chr1	9437054	9437187	rna111	102632723
exon_1166	chr1	9437430	9437524	rna111	102632723
exon_1167	chr1	9437625	9437723	rna111	102632723
exon_1168	chr1	9437811	9438070	rna111	102632723
exon_2487	chr1	13127110	13127163	rna212	383491
exon_2488	chr1	13125166	13125856	rna212	383491
exon_2489	chr1	13124619	13124672	rna212	383491
exon_2490	chr1	13124363	13124520	rna212	383491
exon_2491	chr1	13122361	13122631	rna212	383491
exon_2492	chr1	13118763	13118965	rna212	383491
exon_2493	chr1	13115780	13115881	rna212	383491
exon_2494	chr1	13113428	13114487	rna212	383491
exon_3056	chr1	14755119	14756012	rna253	17681
exon_3057	chr1	14753344	14754325	rna253	17681
exon_3058	chr1	14755230	14756010	rna254	17681
exon_3059	chr1	14754506	14754542	rna254	17681
exon_3060	chr1	14753344	14754325	rna254	17681
exon_3061	chr1	14755230	14755966	rna255	17681
exon_3062	chr1	14753346	14754325	rna255	17681
exon_3063	chr1	14755119	14756012	rna256	17681
exon_3064	chr1	14754506	14754542	rna256	17681
exon_3065	chr1	14754234	14754325	rna256	17681
exon_3174	chr1	15287383	15287484	rna266	98741
exon_3175	chr1	15312363	15313030	rna266	98741
exon_3176	chr1	15709485	15714214	rna266	98741
exon_3177	chr1	15312452	15313030	rna267	98741
exon_3178	chr1	15709485	15714214	rna267	98741
exon_3179	chr1	15313009	15313030	rna268	98741
exon_3180	chr1	15621849	15621945	rna268	98741
exon_3181	chr1	15709485	15714214	rna268	98741
exon_3182	chr1	15621436	15621945	rna269	98741
exon_3183	chr1	15709485	15714214	rna269	98741
exon_3226	chr1	15897383	15897574	rna276	102633776
exon_3227	chr1	15897686	15897800	rna276	102633776
exon_3228	chr1	15905200	15905357	rna276	102633776
exon_3229	chr1	15905562	15905641	rna276	102633776
exon_3230	chr1	15906039	15907764	rna276	102633776
exon_3253	chr1	16104365	16104433	rna282	19989
exon_3254	chr1	16103510	16103684	rna282	19989
exon_3255	chr1	16103168	16103334	rna282	19989
exon_3256	chr1	16102692	16102829	rna282	19989
exon_3257	chr1	16102490	16102599	rna282	19989
exon_3258	chr1	16101727	16101936	rna282	19989
exon_3259	chr1	16101295	16101359	rna282	19989
exon_3260	chr1	16105780	16106306	rna283	98711
exon_3261	chr1	16107795	16108030	rna283	98711
exon_3262	chr1	16128165	16128263	rna283	98711
exon_3263	chr1	16129196	16129341	rna283	98711
exon_3264	chr1	16131075	16131206	rna283	98711
exon_3265	chr1	16131294	16133231	rna283	98711
exon_3266	chr1	16133267	16133734	rna283	98711
exon_3267	chr1	16105882	16106306	rna284	98711
exon_3268	chr1	16107795	16108030	rna284	98711
exon_3269	chr1	16128165	16128263	rna284	98711
exon_3270	chr1	16129196	16129341	rna284	98711
exon_3271	chr1	16131075	16131206	rna284	98711
exon_3272	chr1	16131294	16132550	rna284	98711
exon_3566	chr1	17168402	17171961	rna332	102634541
exon_3567	chr1	17172724	17173109	rna332	102634541
exon_3568	chr1	17168402	17168525	rna333	102634541
exon_3569	chr1	17169812	17170152	rna333	102634541
exon_3570	chr1	17171795	17171961	rna333	102634541
exon_3571	chr1	17172724	17173109	rna333	102634541
exon_3572	chr1	17168402	17168525	rna334	102634541
exon_3573	chr1	17171795	17171961	rna334	102634541
exon_3574	chr1	17172724	17173109	rna334	102634541
exon_3621	chr1	17727099	17727646	rna347	102634913
exon_3622	chr1	17724522	17724589	rna347	102634913
exon_3623	chr1	17712450	17712594	rna347	102634913
exon_3624	chr1	17709686	17709895	rna347	102634913
exon_3625	chr1	17707670	17707726	rna347	102634913
exon_3626	chr1	17696996	17697153	rna347	102634913
exon_3627	chr1	17676027	17677104	rna347	102634913
exon_4199	chr1	20784495	20785274	rna396	257630
exon_4200	chr1	20784173	20784285	rna396	257630
exon_4201	chr1	20779291	20779511	rna396	257630
exon_4202	chr1	20777146	20778004	rna396	257630
exon_4203	chr1	20784173	20784270	rna397	257630
exon_4204	chr1	20779291	20779511	rna397	257630
exon_4205	chr1	20777146	20778004	rna397	257630
exon_4206	chr1	20784495	20785274	rna398	257630
exon_4207	chr1	20784173	20784259	rna398	257630
exon_4208	chr1	20779291	20779511	rna398	257630
exon_4209	chr1	20777159	20778004	rna398	257630
exon_4569	chr1	23235611	23235658	rna441	102632273
exon_4570	chr1	23235382	23235443	rna441	102632273
exon_4571	chr1	23228493	23228870	rna441	102632273
exon_4572	chr1	23235611	23235658	rna442	102632273
exon_4573	chr1	23235382	23235443	rna442	102632273
exon_4574	chr1	23230865	23231005	rna442	102632273
exon_4575	chr1	23228493	23228870	rna442	102632273
exon_4596	chr1	23397795	23399959	rna451	100503399
exon_4597	chr1	23397514	23397680	rna451	100503399
exon_4598	chr1	23391747	23393011	rna451	100503399
exon_4599	chr1	23397514	23399959	rna452	100503399
exon_4600	chr1	23391747	23393011	rna452	100503399
exon_5773	chr1	31176435	31176480	rna542	266744
exon_5774	chr1	31189366	31189498	rna542	266744
exon_5775	chr1	31190363	31190524	rna542	266744
exon_5776	chr1	31196782	31196948	rna542	266744
exon_5777	chr1	31203331	31204725	rna542	266744
exon_8489	chr1	34498430	34498628	rna631	21755
exon_8490	chr1	34499228	34499390	rna631	21755
exon_8491	chr1	34500016	34500290	rna631	21755
