"","chr1","chr2","chr3","chr4","chr5","chr6","chr7","chr8","chr9","chr10","chr11","chr12","chr13","chr14","chr15","chr16","chr17","chr18","chr19","chr20","chr21","chr22","chrX","chrY","chrM"
"B_H3K4me3_ND391",8.07620625388279,8.32470490784842,6.85442120521847,6.27459101263202,6.25388279146821,5.85007247877407,5.29095050735142,5.0735141851315,3.96562435286809,4.79395319942017,4.69041209360116,4.65934976185546,3.22012839097122,3.0544626216608,2.86808863118658,3.00269206875129,2.88879685235038,2.62994408780286,2.16400911161731,2.37109132325533,1.22178504866432,1.32532615448333,5.0631600745496,0.0724787740733071,0.010354110581901
"B_H3K4me3_ND422",8.14583333333333,8.51041666666667,6.95833333333333,6.21875,6.25,5.95833333333333,5.52083333333333,5.17708333333333,4.05208333333333,5,4.82291666666667,4.69791666666667,3.3125,3.17708333333333,2.9375,3.17708333333333,3.07291666666667,2.67708333333333,2.15625,2.51041666666667,1.28125,1.40625,2.60416666666667,0.364583333333333,0.0104166666666667
"B_H3K4me3_ND425",8.06218767351471,8.28428650749584,6.59633536923931,5.98556357579123,5.95224875069406,5.75235980011105,5.29705719044975,4.99722376457524,3.98667406996113,4.81954469739034,4.79733481399223,4.6529705719045,3.08717379233759,3.07606885063853,2.95391449194892,3.27595780122154,3.16490838423098,2.57634647418101,2.34314269850083,2.5541365907829,1.24375347029428,1.51027207107163,4.94169905607996,0.0777345918933926,0.0111049416990561
"B_H3K4me3_SLE1077",8.16634346046111,8.586511527688,7.19672484378367,6.6149536737772,6.55031243266537,6.14091790562379,5.5052790346908,5.09588450764921,4.02930402930403,4.67571644042232,4.81577246283129,4.72958414134885,3.46907993966818,3.11355311355311,2.80112044817927,2.93040293040293,2.89808230984702,2.73647920706744,2.12238741650506,2.26244343891403,1.29282482223659,1.23895712131006,2.70415858651153,0.301659125188537,0.0215470803706098
"B_H3K4me3_SLE2239",9.30972325310147,7.45414060014845,5.9166578305588,4.26253843706924,5.07899480436857,5.58795461774997,4.77149825045064,4.03986851871488,4.14590181316933,4.68667161488707,5.28045806383204,4.83511822712332,2.39635245467077,3.49909871699714,3.13858551585198,3.98685187148765,5.36528469939561,1.94040928851659,4.94115152157778,2.76746898526137,1.14515958010815,2.32212914855265,3.0749655391793,0.0424133177817835,0.0106033294454459
"B_H3K4me3_SLE985",8.00681431005111,8.41141396933561,6.8675468483816,6.17546848381601,6.12223168654174,5.79216354344123,5.31303236797274,4.97231686541738,3.96081771720613,4.78066439522998,4.68483816013629,4.57836456558773,3.21550255536627,3.11967632027257,2.91737649063032,3.14097103918228,3.04514480408859,2.62989778534923,2.22529812606474,2.41695059625213,1.27768313458262,1.45868824531516,4.79131175468484,0.0851788756388416,0.0106473594548552
"M_H3K4me3_ND391",8.43478260869565,8.31521739130435,6.69565217391304,5.79347826086957,5.91304347826087,5.80434782608696,5.15217391304348,4.66304347826087,4,4.73913043478261,4.79347826086957,4.76086956521739,3.07608695652174,3.20652173913044,2.95652173913043,3.15217391304348,3.41304347826087,2.53260869565217,2.76086956521739,2.55434782608696,1.20652173913043,1.47826086956522,4.48913043478261,0.0652173913043478,0.0434782608695652
"M_H3K4me3_ND422",8.86089577950043,8.04263565891473,6.43841515934539,5.27562446167097,5.71705426356589,5.73858742463394,5.20025839793282,4.68346253229974,4.1343669250646,4.86649440137812,5.12489233419466,4.87726098191214,2.72394487510767,3.2192075796727,3.15460809646856,3.54220499569337,4.1343669250646,2.29328165374677,3.48837209302326,2.65934539190353,1.27045650301464,1.81955211024978,2.41171403962102,0.279931093884582,0.0430663221360896
"M_H3K4me3_ND425",8.39948508903669,7.97039261960953,6.49002360008582,5.3743831795752,5.62111134949582,5.67474790817421,5.19201888006866,4.78438103411285,3.95837803046557,4.88092683973396,4.87019952799828,4.62347135807767,2.78910105127655,3.18601158549667,3.03582922119717,3.5829221197168,3.79746835443038,2.43509976399914,3.21819352070371,2.74619180433383,1.18000429092469,1.81291568332976,4.28019738253594,0.0643638704140742,0.0321819352070371
"M_H3K4me3_SLE1077",8.57640400522421,8.27165868524162,6.82411841532434,5.92076621680453,6.08402263822377,6.13844144536352,5.27862429255551,4.79973878972573,4.08141053548106,4.85415759686548,4.82150631258163,4.79973878972573,3.11275576839356,3.2760121898128,3.02568567696996,3.05833696125381,3.60252503265128,2.51414888985633,2.85154549412277,2.44884632128864,1.28428384849804,1.52372659991293,2.57945145842403,0.250326512842838,0.021767522855899
