ID	Symbol	chromosome	Length
11287	Pzp	6	4681
11298	Aanat	11	1455
11302	Aatk	11	5740
11303	Abca1	4	10260
11304	Abca4	3	7248
11305	Abca2	2	8061
11306	Abcb7	X	5759
11307	Abcg1	17	5818
11308	Abi1	2	3505
11350	Abl1	2	7971
11352	Abl2	1	10714
11354	Scgb1b27	7	409
11363	Acadl	1	1948
11364	Acadm	3	2062
11370	Acadvl	11	2188
11409	Acads	5	1870
11416	Slc33a1	3	3121
11418	Asic2	11	3791
11419	Asic1	15	5039
11421	Ace	11	5287
11423	Ache	5	2212
11425	Apoc4	7	518
11426	Macf1	4	23495
11428	Aco1	4	4319
11429	Aco2	15	2768
11430	Acox1	11	4153
11431	Acp1	12	3221
11432	Acp2	2	4653
11433	Acp5	9	1616
11434	Acr	15	1567
11435	Chrna1	2	4320
11438	Chrna4	2	4437
11440	Chrna6	8	2906
11441	Chrna7	7	2091
11443	Chrnb1	11	2149
11444	Chrnb2	3	5384
11447	Chrnd	1	2965
11448	Chrne	11	1591
11449	Chrng	1	1921
11450	Adipoq	16	1232
11451	Acrv1	9	1095
11459	Acta1	8	1571
11461	Actb	5	1889
11464	Actc1	2	1390
11465	Actg1	11	1894
11468	Actg2	6	1315
11470	Actl7a	4	1504
11471	Actl7b	4	1421
11472	Actn2	13	2984
11474	Actn3	19	2887
11475	Acta2	19	2572
11477	Acvr1	2	3298
11479	Acvr1b	15	3277
11480	Acvr2a	2	5681
11481	Acvr2b	9	1701
11482	Acvrl1	15	3788
11484	Aspa	11	1537
11486	Ada	2	1704
11487	Adam10	9	4589
11488	Adam11	11	5102
11489	Adam12	7	7675
11490	Adam15	3	2989
11491	Adam17	12	4550
11492	Adam19	11	6447
11495	Adam2	14	2551
11496	Adam22	5	9256
11497	Adam3	8	2707
11498	Adam4	12	2330
11499	Adam5	8	3130
11500	Adam7	14	3468
11501	Adam8	7	3058
11502	Adam9	8	4039
11504	Adamts1	16	4885
11512	Adcy6	15	6025
11513	Adcy7	8	6330
11514	Adcy8	15	5039
11515	Adcy9	16	7840
11516	Adcyap1	17	2092
11517	Adcyap1r1	6	6245
11518	Add1	5	4047
11519	Add2	6	9756
11520	Plin2	4	1887
11522	Adh1	3	1334
11529	Adh7	3	2079
11532	Adh5	3	1687
11534	Adk	14	1952
11535	Adm	7	1381
11536	Gpr182	10	1694
11537	Cfd	10	927
11538	Adnp	2	4903
11539	Adora1	1	5819
11540	Adora2a	10	2604
11541	Adora2b	11	1844
11542	Adora3	3	3329
11544	Adprh	16	1583
11545	Parp1	1	3827
11546	Parp2	14	1788
11548	Adra1b	11	3567
11549	Adra1a	14	4871
11550	Adra1d	2	2394
11551	Adra2a	19	3801
11552	Adra2b	2	3936
11553	Adra2c	5	3198
11554	Adrb1	19	2491
11555	Adrb2	18	2269
11556	Adrb3	8	2795
11564	Adsl	15	3712
11565	Adssl1	12	1791
11566	Adss	1	2553
11567	Avil	10	3033
11568	Aebp1	11	4052
11569	Aebp2	6	6616
11571	Crisp1	17	1416
11572	Crisp3	17	1387
11576	Afp	5	2086
11593	Aga	8	1290
11595	Acan	7	7355
11596	Ager	17	1699
11600	Angpt1	15	4316
11601	Angpt2	8	3560
11602	Angpt4	2	1530
11603	Agrn	4	7379
11604	Agrp	8	863
11605	Gla	X	3032
11606	Agt	8	1839
11607	Agtr1a	13	2284
11608	Agtr1b	3	2147
11609	Agtr2	X	2872
11610	Agtrap	4	4029
11611	Agxt	1	1553
11614	Nr0b1	X	1794
11622	Ahr	12	5494
11624	Ahrr	13	4732
11625	Ahsg	16	1514
11628	Aicda	6	2397
11629	Aif1	17	875
11630	Aim1	10	7416
11632	Aip	19	2098
11634	Aire	10	2026
11636	Ak1	2	2365
11637	Ak2	4	2275
11639	Ak4	4	5162
